N	2gram	Tiupa_Anal_2	Literetu
1	уединенного сознания	8	50
2	не только	16	24
3	при этом	10	19
4	в качестве	11	17
5	но и	12	17
6	а не	10	16
7	в том	12	16
8	в частности	16	15
9	том что	12	14
10	может быть	6	13
11	тогда как	19	13
12	и не	12	12
13	в этом	18	12
14	состоит в	8	11
15	прежде всего	3	11
16	в своем	4	11
17	своего рода	12	11
18	такого рода	2	10
19	то что	7	10
20	не в	4	8
21	в целом	8	8
22	и в	16	8
23	в тексте	24	8
24	только в	4	8
25	как это	6	8
26	не менее	4	7
27	коммуникативного события	4	7
28	в его	2	7
29	как бы	10	7
30	уже не	4	7
31	в себе	7	7
32	я и	3	7
33	в рамках	3	6
34	и я	2	6
35	как и	14	6
36	и сам	3	6
37	на смену	3	6
38	себя в	2	6
39	того что	2	6
40	точки зрения	4	6
41	то есть	9	6
42	эстетического объекта	3	6
43	казалось бы	3	5
44	же время	2	5
45	я в	3	5
46	в конечном	3	5
47	а также	7	5
48	как в	4	5
49	не может	4	5
50	то же	4	5
51	в отличие	2	5
52	тем самым	4	5
53	в данном	8	5
54	не столько	3	5
55	в то	2	5
56	отличие от	2	5
57	конечном счете	2	4
58	столь же	4	4
59	о себе	2	4
60	в конце	4	4
61	в случае	2	4
62	представляет собой	8	4
63	и адресата	2	4
64	но не	4	4
65	еще не	2	4
66	еще в	2	4
67	и тем	4	4
68	литературного произведения	16	4
69	из них	3	4
70	по преимуществу	4	4
71	в своей	2	4
72	данном случае	5	4
73	со стороны	3	4
74	так и	15	4
75	и т.п	8	4
76	никогда не	3	4
77	авторитарного сознания	3	4
78	всего лишь	8	4
79	лишь в	9	4
80	и его	4	4
81	как раз	4	4
82	в этой	9	4
83	художественную реальность	2	3
84	что в	2	3
85	с другой	6	3
86	одного из	3	3
87	при всей	3	3
88	сводится к	3	3
89	с их	2	3
90	в пределах	9	3
91	в самом	6	3
92	несмотря на	3	3
93	не мог	3	3
94	у него	4	3
95	своего другого	2	3
96	один из	2	3
97	всего в	2	3
98	ли не	2	3
99	в их	3	3
100	приводит к	3	3
101	по отношению	4	3
102	а в	3	3
103	таким образом	2	3
104	и даже	9	3
105	той же	2	3
106	одно из	2	3
107	он и	2	3
108	но в	6	3
109	его в	2	3
110	на этом	4	2
111	классического реализма	2	2
112	а как	2	2
113	эстетического адресата	2	2
114	обращаясь к	2	2
115	отнюдь не	8	2
116	своем составе	3	2
117	превращается в	2	2
118	дело не	2	2
119	подобно тому	3	2
120	от автора	2	2
121	в себя	4	2
122	в мире	6	2
123	к тому	7	2
124	тем не	3	2
125	по выражению	2	2
126	тому же	4	2
127	из его	2	2
128	в поле	4	2
129	или иной	3	2
130	особого рода	2	2
131	того же	4	2
132	внутреннего я	2	2
133	для него	4	2
134	от своего	2	2
135	объекта и	2	2
136	читателя в	4	2
137	одной стороны	4	2
138	было бы	3	2
139	по поводу	3	2
140	за пределы	4	2
141	с действительностью	2	2
142	и является	4	2
143	для нее	2	2
144	даже в	2	2
145	не есть	2	2
146	отношению к	4	2
147	в сущности	4	2
148	только на	3	2
149	в текст	2	2
150	этом отношении	3	2
151	с одной	5	2
152	художественного целого	7	2
153	для читателя	2	2
154	с точки	2	2
155	роль в	2	2
156	художественного впечатления	17	2
157	можно было	3	2
158	тому как	3	2
159	и то	3	2
160	не случайно	8	2
161	оказывается не	2	2
162	между тем	2	2
163	тем что	3	2
164	одну из	2	2
165	могут быть	10	2
166	и м	2	2
167	на себя	5	2
168	с позиции	2	2
169	этого рода	2	2
170	факторов художественного	6	2
171	как будто	3	2
172	как правило	4	2
173	о том	7	2
174	в столь	2	2
175	в сознании	4	2
176	нашего времени	4	2
177	текста как	2	2
