N	2gram	Propp_Isto_3	Tvorches
1	и в	22	21
2	в то	2	15
3	в его	3	13
4	то же	6	13
5	что в	15	12
6	как и	3	12
7	том что	8	11
8	как в	2	8
9	он не	5	8
10	то что	7	8
11	у него	3	7
12	в свою	4	7
13	в том	9	7
14	при этом	2	7
15	не только	14	7
16	и не	12	7
17	и на	4	7
18	но в	10	7
19	что он	9	6
20	и все	3	6
21	не менее	5	6
22	в котором	2	6
23	а в	6	6
24	и его	4	6
25	в этом	17	6
26	о том	3	6
27	вовсе не	2	5
28	а не	6	5
29	но это	3	5
30	может быть	11	5
31	в этой	5	5
32	все же	5	5
33	таким образом	10	5
34	потому что	3	5
35	как будто	2	5
36	только в	4	5
37	в русской	3	5
38	в своем	2	4
39	прежде всего	3	4
40	и как	3	4
41	в целом	3	4
42	не имеют	2	4
43	одним из	4	4
44	один из	5	4
45	не может	4	4
46	это не	6	4
47	и от	3	4
48	он видит	3	3
49	и другие	4	3
50	никогда не	3	3
51	с другой	7	3
52	представление о	3	3
53	я не	3	3
54	в дальнейшем	4	3
55	но не	7	3
56	на его	3	3
57	той же	2	3
58	даже в	2	3
59	в нем	9	3
60	и т	16	3
61	жизни и	2	3
62	но и	12	3
63	ее в	3	3
64	уже не	7	3
65	на самом	2	3
66	там же	2	3
67	того что	5	3
68	и даже	2	3
69	вот почему	2	3
70	так же	3	3
71	связан с	2	3
72	и с	4	3
73	хотя и	2	3
74	в виде	2	3
75	ту же	2	3
76	далеко не	3	3
77	представляет собой	3	3
78	так как	7	3
79	такой же	2	2
80	в частности	5	2
81	в этих	11	2
82	на том	3	2
83	в качестве	2	2
84	точно так	2	2
85	в жизни	2	2
86	одного из	2	2
87	к этому	7	2
88	можно сказать	2	2
89	что и	9	2
90	а затем	3	2
91	так что	5	2
92	не в	4	2
93	одна из	2	2
94	из них	7	2
95	к тому	3	2
96	только на	2	2
97	живет в	5	2
98	в одной	3	2
99	в ней	2	2
100	к ней	4	2
101	свое лицо	2	2
102	в него	2	2
103	герой в	2	2
104	тем не	5	2
105	вместе с	9	2
106	но она	2	2
107	к жизни	2	2
108	данном случае	3	2
109	так и	2	2
110	еще более	2	2
111	что она	5	2
112	здесь мы	5	2
113	не мог	2	2
114	что не	2	2
115	и у	3	2
116	и он	2	2
117	на смену	4	2
118	или в	11	2
119	сказать что	3	2
120	могут быть	5	2
121	но он	4	2
122	известно что	2	2
123	в данном	4	2
124	при помощи	3	2
125	что ты	4	2
126	в чем	3	2
