N	2gram	Trubetskoy_1	Problemy
1	и в	14	34
2	и не	19	29
3	как бы	4	27
4	что он	6	23
5	в его	4	22
6	может быть	9	19
7	в нем	5	19
8	не может	22	19
9	как и	4	18
10	к себе	2	17
11	но в	2	16
12	все это	6	16
13	в этом	17	16
14	и с	7	15
15	прежде всего	8	15
16	он не	5	15
17	то же	11	14
18	с самим	2	14
19	к нему	2	14
20	самом деле	7	13
21	для него	6	13
22	но и	10	12
23	же время	10	12
24	и к	6	12
25	потому что	5	12
26	в то	10	12
27	то что	13	11
28	на самом	6	11
29	не только	9	10
30	не в	4	9
31	а не	2	9
32	никогда не	5	8
33	себя и	5	8
34	в самом	3	8
35	и т	3	8
36	так же	2	8
37	точки зрения	11	8
38	с ним	2	8
39	что же	4	8
40	и для	6	8
41	в другом	3	8
42	что в	4	7
43	и даже	2	7
44	отношении к	2	7
45	все же	4	7
46	как будто	2	7
47	что они	3	6
48	самим собой	12	6
49	и на	5	6
50	от него	2	6
51	мы уже	2	6
52	для себя	2	6
53	в себе	9	6
54	только в	5	6
55	он сам	3	5
56	что это	3	5
57	и от	2	5
58	в конце	3	5
59	к тому	7	5
60	так что	2	5
61	и что	2	5
62	того что	3	5
63	всяком случае	6	5
64	себе и	4	5
65	из них	3	5
66	по отношению	2	5
67	таким образом	11	5
68	и вот	2	5
69	лишь в	3	5
70	а в	5	5
71	и наконец	2	5
72	мы должны	7	5
73	с тем	6	5
74	что и	3	5
75	хотя бы	5	5
76	во всяком	9	5
77	друг другу	2	4
78	то ни	4	4
79	что все	3	4
80	ни в	2	4
81	да и	3	4
82	но это	2	4
83	у него	2	4
84	при этом	5	4
85	не о	2	4
86	бы то	4	4
87	все эти	2	4
88	даже и	2	4
89	в начале	2	4
90	его в	4	4
91	так как	4	4
92	если бы	6	4
93	бы его	2	4
94	но не	4	4
95	еще не	3	4
96	только на	2	4
97	в мире	4	4
98	с точки	9	4
99	тем что	3	4
100	в виде	3	4
101	вместе с	4	4
102	для этого	3	3
103	в том	17	3
104	что с	2	3
105	но для	2	3
106	в котором	2	3
107	жизни и	4	3
108	его и	2	3
109	должно быть	3	3
110	их в	2	3
111	в ней	2	3
112	говорить о	3	3
113	во всем	4	3
114	конце концов	3	3
115	большинстве случаев	2	3
116	этого не	2	3
117	и во	3	3
118	по себе	2	3
119	том что	9	3
120	так чтобы	3	3
121	между тем	5	3
122	в своей	5	3
123	а с	2	3
124	если не	2	3
125	сводится к	3	3
126	и как	3	3
127	и то	4	3
128	только с	2	3
129	а между	5	3
130	не было	3	2
131	сама по	2	2
132	тому что	2	2
133	ибо в	3	2
134	это в	2	2
135	вопрос о	5	2
136	этом случае	3	2
137	или иной	5	2
138	собой и	3	2
139	в большинстве	3	2
140	и если	7	2
141	друг с	14	2
142	что такое	2	2
143	от этой	2	2
144	друг друга	3	2
145	тому чтобы	4	2
146	отличается от	2	2
147	в своем	6	2
148	и только	5	2
149	что оно	3	2
150	того или	2	2
151	как на	8	2
152	отказаться от	4	2
153	остается в	2	2
154	с этим	2	2
155	той или	3	2
156	самого себя	7	2
157	о том	7	2
158	и должно	2	2
159	себя как	2	2
160	признать что	6	2
161	во время	2	2
162	и этот	3	2
163	нисколько не	2	2
164	всех этих	3	2
165	отнюдь не	7	2
166	были бы	2	2
167	он должен	5	2
168	то в	3	2
169	с другом	14	2
170	ли это	4	2
171	было бы	5	2
172	конечно не	5	2
173	во всех	5	2
174	и потому	3	2
175	благодаря этому	2	2
176	быть и	2	2
177	всем этим	2	2
178	уже не	2	2
179	к чему	2	2
180	зависимость от	2	2
181	которой он	4	2
