N	2gram	Nazirov_Tv_2	RusskieA
1	и в	20	36
2	а а	4	25
3	не только	13	22
4	что в	7	19
5	том что	4	19
6	а н	2	18
7	в том	8	17
8	но и	8	16
9	так как	3	15
10	и м	2	14
11	в этом	8	12
12	в этот	2	10
13	это не	7	10
14	в xix	2	10
15	как и	6	10
16	и т	13	10
17	вместе с	3	10
18	и на	5	10
19	потому что	7	10
20	об этом	4	9
21	т д	11	9
22	а в	4	9
23	у нас	2	8
24	из них	2	8
25	может быть	8	8
26	один из	3	8
27	и по	2	8
28	о том	5	8
29	что они	4	7
30	так и	6	7
31	и других	2	7
32	между тем	3	7
33	и не	9	6
34	так например	3	6
35	при этом	8	6
36	уже не	3	6
37	таким образом	10	6
38	мы не	4	6
39	все это	6	6
40	в виде	2	6
41	то что	3	6
42	показывает что	4	5
43	все же	5	5
44	как бы	11	5
45	и у	2	5
46	во многих	2	5
47	с ними	2	5
48	в которых	3	5
49	как в	4	5
50	там же	9	5
51	к этому	3	4
52	что на	2	4
53	одна из	3	4
54	еще не	5	4
55	и др	3	4
56	в их	3	4
57	в россии	2	4
58	так в	2	4
59	не может	7	4
60	а с	3	4
61	и что	2	4
62	что этот	2	4
63	но это	5	4
64	тем что	3	4
65	только в	2	4
66	не менее	2	3
67	начиная с	2	3
68	к жизни	2	3
69	он же	2	3
70	в одном	2	3
71	представление о	7	3
72	как правило	2	3
73	в основном	6	3
74	в честь	2	3
75	своего рода	3	3
76	но эти	2	3
77	приводит к	2	3
78	то же	7	3
79	всякого рода	2	3
80	на этот	2	3
81	так же	5	3
82	ничего не	4	3
83	их в	2	3
84	то есть	5	3
85	не было	2	2
86	в частности	2	2
87	могут быть	2	2
88	его и	2	2
89	что у	4	2
90	не означает	2	2
91	е а	3	2
92	только для	2	2
93	и потому	4	2
94	в образе	3	2
95	в нем	3	2
96	у него	6	2
97	так что	2	2
98	в дальнейшем	4	2
99	мы видим	4	2
100	такой же	2	2
101	но не	5	2
102	на западе	3	2
103	как известно	2	2
104	отнюдь не	4	2
105	когда он	4	2
106	например в	5	2
107	том же	2	2
108	в его	10	2
109	года в	7	2
110	и с	8	2
111	в целом	6	2
112	что она	4	2
113	как по	2	2
114	в свете	3	2
115	тогда как	3	2
116	все эти	4	2
117	в году	16	2
118	а не	6	2
119	с ним	3	2
120	тут же	2	2
121	в своих	3	2
122	этот вопрос	3	2
123	не случайно	2	2
124	хотя и	4	2
125	но в	4	2
126	и поэтому	2	2
127	же не	2	2
