N	2gram	Vygotskiy__1	Dialekti
1	и не	9	27
2	а не	3	26
3	точки зрения	26	25
4	и в	23	24
5	не только	16	23
6	по себе	5	20
7	не может	12	19
8	ничего не	3	17
9	и что	5	15
10	что все	4	14
11	то что	17	14
12	с точки	18	14
13	может быть	14	13
14	таким образом	26	13
15	и даже	2	13
16	что он	7	13
17	вовсе не	3	13
18	что это	3	12
19	того что	15	12
20	не имеет	2	11
21	в сущности	6	10
22	ни в	4	9
23	но и	14	9
24	что она	4	9
25	есть не	2	9
26	учение о	3	8
27	прежде всего	10	8
28	и как	5	8
29	что мы	5	8
30	том что	21	8
31	в этом	17	8
32	в виде	2	8
33	что в	14	7
34	никогда не	2	7
35	в самом	7	7
36	что оно	3	7
37	потому что	6	7
38	ясно что	2	7
39	как и	14	7
40	как раз	4	7
41	я не	3	6
42	все это	6	6
43	и с	9	6
44	о том	6	6
45	так как	7	6
46	если бы	5	6
47	превращается в	3	6
48	и все	5	6
49	об этом	3	6
50	то же	8	6
51	самом деле	3	6
52	и пр	2	6
53	с этой	6	5
54	в том	24	5
55	что его	2	5
56	хотя и	2	5
57	жизни и	2	5
58	и его	6	5
59	как на	4	5
60	что для	5	5
61	одно из	2	5
62	в то	7	5
63	как это	2	5
64	в них	2	5
65	вопрос о	7	5
66	тогда когда	3	5
67	и к	4	5
68	одно и	2	5
69	было бы	4	5
70	он не	5	5
71	так и	5	5
72	уже не	2	5
73	мы не	7	5
74	сам по	3	5
75	только в	6	5
76	тому что	5	4
77	с другой	10	4
78	первый план	2	4
79	то время	5	4
80	к тому	4	4
81	хотя бы	4	4
82	так же	16	4
83	время как	4	4
84	сказать что	11	4
85	сознания и	3	4
86	на первый	2	4
87	говорить о	2	4
88	от того	6	4
89	только что	4	4
90	в чем	4	4
91	и то	3	4
92	мы и	3	4
93	и это	3	4
94	для него	2	4
95	перед нами	5	3
96	все же	3	3
97	все время	6	3
98	вопрос об	6	3
99	за пределы	2	3
100	в своем	3	3
101	в одной	3	3
102	и от	3	3
103	и я	2	3
104	что именно	3	3
105	не в	4	3
106	она не	3	3
107	же время	2	3
108	одной стороны	9	3
109	в основе	8	3
110	тем более	5	3
111	то и	3	3
112	как таковая	2	3
113	с одной	8	3
114	все эти	4	3
115	того кто	2	3
116	должно быть	2	3
117	и на	8	3
118	с этим	6	3
119	во всем	3	3
120	тем что	6	3
121	он должен	2	3
122	только тогда	2	3
123	в силу	6	3
124	на то	5	3
125	зависимости от	2	3
126	как бы	11	3
127	если не	3	3
128	также не	2	3
129	тем самым	5	3
130	для того	15	3
131	из которых	3	3
132	той же	2	3
133	в слове	2	3
134	в каком	3	3
135	и ее	7	3
136	же как	6	2
137	что если	2	2
138	в одинаковой	2	2
139	она должна	4	2
140	в частности	2	2
141	что у	2	2
142	из этих	3	2
143	гласит что	2	2
144	показывает что	3	2
145	из того	5	2
146	в смысле	2	2
147	оно есть	2	2
148	как таковой	2	2
149	на этом	2	2
150	при этом	4	2
151	несмотря на	2	2
152	и если	3	2
153	нас к	8	2
154	и следовательно	3	2
155	всяком случае	3	2
156	и тем	6	2
157	другой стороны	9	2
158	целый ряд	4	2
159	для этого	5	2
160	именно в	6	2
161	сознания в	2	2
162	и вот	2	2
163	его не	3	2
164	а в	2	2
165	в своих	5	2
166	их в	4	2
167	для себя	4	2
168	в первом	2	2
169	и потому	2	2
170	бы в	5	2
171	но в	5	2
172	с его	4	2
173	как видим	2	2
174	в зависимости	2	2
175	содержится в	2	2
176	в их	3	2
177	и эти	2	2
178	по существу	4	2
179	но не	4	2
180	со всеми	2	2
181	фактов и	4	2
182	и понимания	2	2
183	этого мы	2	2
184	силу этого	3	2
185	в природе	3	2
186	ее в	2	2
187	на основании	5	2
188	как мы	5	2
189	целое и	2	2
190	что этот	2	2
191	в данном	2	2
192	во всяком	3	2
193	которое не	2	2
194	могут быть	3	2
195	в себе	6	2
196	и логической	2	2
197	его на	2	2
198	из этого	5	2
199	учения о	6	2
200	в его	14	2
201	этом вопросе	4	2
