N	2gram	Propp_Isto_3	Narrotol
1	не только	14	26
2	а не	6	17
3	представляет собой	3	16
4	но и	12	15
5	в том	9	14
6	при этом	2	14
7	в качестве	2	14
8	и не	12	14
9	том что	8	13
10	и в	22	13
11	в этом	17	13
12	состоит в	3	12
13	в частности	5	11
14	только в	4	11
15	может быть	11	10
16	в данном	4	10
17	к тому	3	9
18	так и	2	9
19	а в	6	9
20	то что	7	8
21	не может	4	8
22	не в	4	8
23	никогда не	3	6
24	в своем	2	6
25	в жизни	2	6
26	прежде всего	3	6
27	можно сказать	2	6
28	и к	3	6
29	того что	5	6
30	в его	3	6
31	данном случае	3	6
32	со стороны	3	6
33	все же	5	6
34	у него	3	6
35	а также	2	6
36	ничего не	6	6
37	но в	10	6
38	точки зрения	2	5
39	тем не	5	5
40	что он	9	5
41	одной стороны	2	5
42	хотя и	2	5
43	он не	5	5
44	в котором	2	5
45	я не	3	5
46	в нем	9	5
47	отношению к	2	5
48	как в	2	5
49	по отношению	2	5
50	таким образом	10	5
51	с одной	2	5
52	с другой	7	5
53	в то	2	5
54	далеко не	3	5
55	о том	3	5
56	не менее	5	4
57	если бы	6	4
58	же в	2	4
59	тому же	2	4
60	как и	3	4
61	все что	3	4
62	у нее	2	4
63	что в	15	4
64	и уже	2	4
65	жизни и	2	4
66	то же	6	4
67	уже не	7	4
68	и у	3	4
69	в силу	2	4
70	в другом	2	4
71	в этой	5	4
72	и все	3	4
73	как это	4	4
74	с матерью	2	3
75	мы имеем	19	3
76	это не	6	3
77	лицо и	2	3
78	говорилось выше	2	3
79	да и	2	3
80	что они	8	3
81	одна из	2	3
82	но не	7	3
83	пребывания в	7	3
84	к ней	4	3
85	один из	5	3
86	в целом	3	3
87	на том	3	3
88	то и	6	3
89	все эти	4	3
90	и даже	2	3
91	и для	2	3
92	и его	4	3
93	с ними	3	3
94	о ней	2	3
95	сказать что	3	3
96	между тем	2	3
97	как правило	2	3
98	дело с	2	2
99	же как	2	2
100	только не	2	2
101	должен был	3	2
102	а то	2	2
103	что у	3	2
104	превращается в	3	2
105	представления о	2	2
106	из этих	3	2
107	точно так	2	2
108	вовсе не	2	2
109	со своими	2	2
110	и здесь	7	2
111	в свою	4	2
112	для нас	4	2
113	и т	16	2
114	эти два	3	2
115	и более	2	2
116	еще не	10	2
117	было бы	3	2
118	и он	2	2
119	себе и	2	2
120	что она	5	2
121	у меня	5	2
122	не вполне	6	2
123	в него	2	2
124	не все	6	2
125	что и	9	2
126	только на	2	2
127	в других	4	2
128	если не	2	2
129	у нас	4	2
130	в течение	6	2
131	на самом	2	2
132	том свете	2	2
133	ней в	2	2
134	они не	4	2
135	и что	2	2
136	не имеет	2	2
137	так же	3	2
138	той же	2	2
139	роль в	2	2
140	в чем	3	2
141	но это	3	2
142	вступает в	3	2
143	в ней	2	2
144	в виде	2	2
145	но он	4	2
146	во время	6	2
147	видно что	2	2
148	и вновь	2	2
149	представляют собой	4	2
150	здесь не	3	2
151	потому что	3	2
