N	2gram	Losev_Prob_1	formyVre
1	и в	32	46
2	в этом	19	22
3	прежде всего	10	14
4	и т	11	14
5	вовсе не	35	13
6	и его	3	12
7	только в	7	11
8	не только	17	11
9	во всех	7	11
10	в том	9	10
11	как бы	14	10
12	точки зрения	3	10
13	то есть	33	10
14	но в	14	10
15	не в	4	9
16	мы уже	5	9
17	вместе с	2	9
18	но и	9	9
19	и не	31	9
20	и для	4	9
21	в ряд	2	9
22	в связи	4	8
23	связи с	5	8
24	как и	3	8
25	в его	6	8
26	то же	10	8
27	того чтобы	9	8
28	для того	8	8
29	с точки	3	8
30	потому что	16	8
31	из них	3	8
32	всех этих	7	7
33	в них	7	7
34	может быть	14	7
35	то что	42	7
36	так и	12	7
37	и на	8	7
38	никогда не	7	6
39	и во	3	6
40	и все	7	6
41	при этом	6	6
42	как мы	7	6
43	здесь в	3	6
44	еще не	9	6
45	его в	6	6
46	все это	7	6
47	так как	11	6
48	и с	2	6
49	в своем	5	5
50	с этим	3	5
51	по существу	2	5
52	в дальнейшем	4	5
53	в то	6	5
54	но не	9	5
55	он не	3	5
56	в нем	13	5
57	что в	12	5
58	все эти	8	5
59	должно быть	2	5
60	уже в	3	4
61	отнюдь не	10	4
62	из этих	2	4
63	с ним	3	4
64	же в	4	4
65	том что	12	4
66	так что	6	4
67	что они	3	4
68	есть и	3	4
69	в котором	5	4
70	как в	4	4
71	а не	15	4
72	также и	11	4
73	их в	4	4
74	в себе	15	4
75	в истории	4	4
76	о том	11	4
77	не было	4	3
78	прежде чем	3	3
79	мы будем	2	3
80	о чем	6	3
81	не является	5	3
82	того же	3	3
83	к тому	3	3
84	на первый	2	3
85	что он	7	3
86	следовательно и	2	3
87	самое время	4	3
88	и как	6	3
89	тем более	5	3
90	в качестве	2	3
91	для него	2	3
92	кроме того	2	3
93	том как	2	3
94	в это	2	3
95	хотя и	6	3
96	а также	4	3
97	нет и	2	3
98	ее в	2	3
99	т д	10	3
100	не на	3	3
101	таким образом	6	3
102	в их	4	3
103	уже не	3	3
104	того что	7	3
105	и даже	11	3
106	мы наблюдаем	2	3
107	а в	4	3
108	в которых	3	3
109	тем что	7	3
110	же самое	9	3
111	в этих	3	3
112	в виду	6	3
113	только для	3	2
114	и весь	4	2
115	по своему	9	2
116	и есть	6	2
117	а потом	2	2
118	друг другу	2	2
119	говорить о	6	2
120	с другой	3	2
121	это не	6	2
122	и так	2	2
123	вещи и	12	2
124	что все	3	2
125	по себе	15	2
126	или иной	5	2
127	можно сказать	5	2
128	о его	2	2
129	в отношении	3	2
130	без всякого	2	2
131	в самой	3	2
132	как его	2	2
133	именно в	4	2
134	у нас	14	2
135	мы видим	2	2
136	в этой	10	2
137	с тем	5	2
138	совсем не	4	2
139	смысле слова	7	2
140	и пр	4	2
141	она не	2	2
142	было бы	8	2
143	со всеми	2	2
144	в сущности	2	2
145	и о	8	2
146	и потому	2	2
147	один из	4	2
148	сих пор	3	2
149	после этого	4	2
150	этом случае	2	2
151	для чего	2	2
152	быть и	3	2
153	и до	2	2
154	не может	8	2
155	здесь не	7	2
156	и только	4	2
157	если не	4	2
158	не для	2	2
159	и всегда	2	2
160	так же	9	2
161	особенно в	2	2
162	этого романа	2	2
163	сами по	3	2
164	в данном	9	2
165	но это	8	2
166	то в	5	2
167	мы имеем	2	2
168	могут быть	2	2
169	но он	3	2
170	в литературе	4	2
171	что здесь	3	2
172	далеко не	5	2
173	в конце	6	2
174	как он	4	2
175	и это	9	2
176	как это	6	2
177	и должно	2	2
178	во всяком	7	2
179	значит что	3	2
180	до сих	3	2
