N	3gram	Vygotskiy__4	Problema
1	в том что	31	9
2	в данном случае	2	7
3	то же самое	7	7
4	в связи с	3	7
5	и то что	4	7
6	во всяком случае	3	6
7	в этом случае	3	5
8	с другой стороны	8	5
9	и то же	6	4
10	в том смысле	2	3
11	одно и то	6	3
12	мы могли бы	9	3
13	точно так же	3	3
14	можно было бы	5	3
15	о том что	3	3
16	в первую очередь	4	3
17	с первого взгляда	3	3
18	содержит в себе	2	3
19	заключается в том	14	3
20	и тем самым	4	2
21	по сравнению с	3	2
22	на первый план	4	2
23	с точки зрения	11	2
24	же как и	4	2
25	в отличие от	2	2
26	и только в	2	2
27	как мы видели	2	2
28	этой точки зрения	4	2
29	в настоящее время	2	2
30	в том виде	2	2
31	но и в	2	2
32	это значит что	2	2
