N	2gram	Bakhtin_Fr_7	Morfolog
1	может быть	4	52
2	таким образом	19	20
3	не может	3	17
4	в этих	2	16
5	с этим	2	14
6	и в	41	13
7	в этом	15	13
8	и др	2	12
9	так как	3	12
10	перед нами	2	11
11	мы видим	6	11
12	прежде всего	11	9
13	так и	10	9
14	в связи	2	9
15	то же	13	9
16	и не	7	9
17	а не	2	9
18	мы имеем	2	9
19	по существу	8	8
20	что и	5	8
21	в результате	2	8
22	в качестве	9	7
23	имеем в	2	7
24	это не	6	6
25	и здесь	4	6
26	в том	11	6
27	а также	2	6
28	в форме	3	6
29	а в	5	6
30	во время	3	6
31	и другие	3	5
32	в образе	4	5
33	иногда в	3	5
34	во всех	3	5
35	далеко не	2	5
36	как бы	7	5
37	то что	8	5
38	или в	2	5
39	потому что	5	5
40	мы не	2	5
41	что в	9	4
42	и как	2	4
43	вовсе не	7	4
44	очень часто	3	4
45	отношению к	2	4
46	было бы	4	4
47	несмотря на	3	4
48	не только	5	4
49	как в	5	4
50	как мы	11	4
51	так же	5	4
52	по отношению	2	4
53	как и	14	4
54	хотя и	4	4
55	тем что	3	4
56	точки зрения	5	4
57	с точки	3	4
58	на этом	5	4
59	также и	2	4
60	его в	3	4
61	ничего не	4	4
62	сам он	3	3
63	же в	2	3
64	том что	4	3
65	но все	4	3
66	но это	3	3
67	кроме того	3	3
68	в сущности	4	3
69	он не	4	3
70	ни в	6	3
71	но и	9	3
72	целый ряд	4	3
73	для этой	3	3
74	на самом	2	3
75	из которых	2	3
76	и по	3	3
77	к нему	5	3
78	и для	5	3
79	из них	3	3
80	и ее	2	3
81	в то	10	3
82	начинается с	2	3
83	но в	8	3
84	совсем не	3	2
85	он действует	2	2
86	та же	4	2
87	к этому	5	2
88	что он	3	2
89	и к	5	2
90	в нее	3	2
91	только в	6	2
92	а на	2	2
93	они и	2	2
94	в большинстве	2	2
95	есть и	3	2
96	момент в	4	2
97	для него	6	2
98	но есть	3	2
99	одной из	2	2
100	мы уже	12	2
101	никто не	10	2
102	оно не	2	2
103	благодаря этому	2	2
104	или менее	2	2
105	все эти	13	2
106	того что	2	2
107	уже не	2	2
108	не имеет	3	2
109	и его	9	2
110	можно было	3	2
111	путь на	3	2
112	не знает	3	2
113	о том	6	2
114	в свое	2	2
115	большинстве случаев	2	2
116	одна из	4	2
117	более или	2	2
118	это было	2	2
