N	2gram	Voloshinov_2	Tragedij
1	и в	19	18
2	в этом	15	9
3	не только	13	8
4	и не	19	7
5	и на	5	7
6	и с	2	7
7	может быть	28	7
8	как бы	19	7
9	что он	4	6
10	и его	16	6
11	же время	8	6
12	у него	2	6
13	но в	7	6
14	все же	5	5
15	что это	2	5
16	так и	10	5
17	это не	4	5
18	не может	18	5
19	то же	16	5
20	как и	9	5
21	в то	8	5
22	но и	10	4
23	то что	4	4
24	что в	2	4
25	прежде всего	7	4
26	и все	6	4
27	в нем	11	4
28	и даже	2	4
29	так же	5	4
30	том что	10	4
31	в этой	3	4
32	в себе	4	4
33	еще не	3	4
34	уже в	2	3
35	о чем	2	3
36	отнюдь не	8	3
37	в своем	2	3
38	все эти	3	3
39	и он	2	3
40	и как	6	3
41	к нему	5	3
42	в основном	4	3
43	должно быть	3	3
44	в его	5	3
45	для него	9	3
46	при этом	9	3
47	то есть	2	3
48	не имеет	3	2
49	перед нами	3	2
50	и до	3	2
51	но они	2	2
52	что и	3	2
53	в душе	4	2
54	в отличие	3	2
55	а как	4	2
56	вопрос о	2	2
57	если б	3	2
58	с его	8	2
59	к тому	6	2
60	столь же	3	2
61	не так	2	2
62	и здесь	5	2
63	ни в	6	2
64	он был	2	2
65	в ее	3	2
66	в том	7	2
67	до конца	2	2
68	друг друга	2	2
69	отличие от	3	2
70	в таком	7	2
71	не в	10	2
72	в данном	5	2
73	и то	3	2
74	в русском	4	2
75	одна из	7	2
76	тем что	2	2
77	в виде	2	2
78	он и	2	2
79	и ее	4	2
80	о том	3	2
81	его в	7	2
82	и это	3	2
83	в самом	6	2
84	ничего не	4	2
85	он не	3	2
86	никогда не	7	2
