N	2gram	Vygotskiy__4	Morfolog
1	может быть	22	52
2	и т	6	49
3	т д	2	47
4	таким образом	13	20
5	представляет собой	2	17
6	не может	10	17
7	с этим	5	14
8	и в	33	13
9	в этом	28	13
10	так как	12	12
11	перед нами	6	11
12	мы видим	6	11
13	связи с	2	11
14	видим что	2	10
15	прежде всего	2	9
16	так и	3	9
17	то же	9	9
18	и не	13	9
19	а не	6	9
20	мы имеем	2	9
21	ход действия	3	8
22	с другой	2	8
23	по существу	2	8
24	что и	3	8
25	при помощи	4	8
26	в результате	2	8
27	вопрос о	2	7
28	в тех	2	7
29	но если	3	7
30	все же	5	7
31	это не	6	6
32	и здесь	3	6
33	в том	21	6
34	но не	3	6
35	а в	4	6
36	во время	6	6
37	тому как	2	5
38	если мы	12	5
39	мы увидим	2	5
40	вслед за	3	5
41	во всех	2	5
42	далеко не	3	5
43	как бы	25	5
44	не все	2	5
45	один из	2	5
46	то что	44	5
47	потому что	24	5
48	мы не	5	5
49	и затем	3	4
50	что в	21	4
51	и как	5	4
52	вовсе не	5	4
53	об этом	4	4
54	что его	3	4
55	было бы	12	4
56	не только	7	4
57	то это	3	4
58	как в	3	4
59	как мы	4	4
60	другой стороны	2	4
61	так же	13	4
62	показать что	7	4
63	как и	5	4
64	на пути	2	4
65	тем что	3	4
66	точки зрения	6	4
67	с точки	4	4
68	могла бы	4	4
69	на этом	3	4
70	также и	2	4
71	его в	3	4
72	ничего не	2	4
73	только что	15	3
74	если бы	10	3
75	в какой	5	3
76	узнает о	3	3
77	том что	22	3
78	но все	2	3
79	что они	6	3
80	в целом	5	3
81	в пределах	3	3
82	того чтобы	22	3
83	в сущности	6	3
84	он не	11	3
85	не является	2	3
86	и другим	2	3
87	ни в	3	3
88	но и	3	3
89	на него	4	3
90	не упоминается	2	3
91	целый ряд	5	3
92	на самом	6	3
93	самом деле	12	3
94	из которых	3	3
95	и для	3	3
96	иногда может	2	3
97	мы можем	5	3
98	из них	4	3
99	в руки	2	3
100	и ее	2	3
101	большей частью	2	3
102	в то	3	3
103	мы должны	6	3
104	героя и	2	3
105	но в	2	3
106	что ни	2	2
107	с тем	4	2
108	в виде	3	2
109	в частности	4	2
110	его и	2	2
111	и за	3	2
112	хотя бы	2	2
113	та же	3	2
114	точно так	3	2
115	что эта	6	2
116	приходим к	2	2
117	к этому	4	2
118	что он	20	2
119	можно сказать	2	2
120	так например	4	2
121	и к	2	2
122	в нее	2	2
123	из его	2	2
124	совершается в	2	2
125	только в	4	2
126	а на	2	2
127	тем и	2	2
128	то время	2	2
129	одной стороны	3	2
130	мы уже	5	2
131	никто не	4	2
132	ни одной	3	2
133	показать как	2	2
134	себя в	4	2
135	то как	2	2
136	и только	7	2
137	а с	2	2
138	с одной	3	2
139	за ней	2	2
140	все эти	6	2
141	перейти к	2	2
142	и что	25	2
143	того что	4	2
144	для того	23	2
145	к другой	2	2
146	так если	2	2
147	не имеет	2	2
148	заставляет его	4	2
149	и его	5	2
150	можно было	4	2
151	совершенно одинаково	3	2
152	в каком	8	2
153	этот вопрос	4	2
154	что мы	6	2
155	о том	20	2
156	что эти	2	2
157	ясно что	5	2
158	одна из	4	2
159	сказать что	13	2
160	как это	14	2
161	время как	2	2
162	это было	4	2
