N	2gram	Bakhtin_Pr_2	Sovremen
1	не может	24	17
2	точки зрения	19	12
3	может быть	18	12
4	таким образом	11	11
5	в каждом	4	8
6	в этом	20	7
7	и в	45	7
8	и не	42	6
9	как и	14	6
10	в результате	3	6
11	мы можем	4	6
12	ничего не	3	6
13	что же	4	5
14	прежде всего	11	5
15	все эти	4	5
16	с точки	9	5
17	в условиях	2	5
18	как бы	15	4
19	нет и	3	4
20	в развитии	2	4
21	мы видели	3	4
22	в целом	5	4
23	жизни и	15	4
24	в зависимости	3	4
25	это не	3	4
26	а в	3	4
27	не только	16	4
28	в том	8	4
29	в дальнейшем	2	4
30	их в	7	4
31	из них	9	4
32	точку зрения	5	4
33	мы должны	4	4
34	зависимости от	3	4
35	так как	5	4
36	уже в	4	3
37	все же	4	3
38	он может	2	3
39	все это	5	3
40	в конце	4	3
41	то же	5	3
42	в нем	20	3
43	а не	10	3
44	и к	2	3
45	у нас	2	3
46	не в	8	3
47	одна из	3	3
48	еще не	9	3
49	всех элементов	2	3
50	при этом	2	3
51	было бы	4	3
52	и т.д	3	3
53	в одном	6	3
54	как он	4	3
55	в себе	5	3
56	в области	2	3
57	что она	4	3
58	но в	6	3
59	и потому	6	3
60	так сказать	7	2
61	же мы	2	2
62	не менее	2	2
63	в некоторых	2	2
64	у него	6	2
65	в нашем	2	2
66	принципиально не	2	2
67	или же	2	2
68	из одного	2	2
69	что все	3	2
70	как мы	8	2
71	уже не	6	2
72	или иной	3	2
73	самом деле	4	2
74	и что	2	2
75	и пр	2	2
76	из которых	2	2
77	и даже	3	2
78	и по	2	2
79	конечно в	2	2
80	мы видим	2	2
81	в таком	3	2
82	но все	4	2
83	он приводит	2	2
84	а на	2	2
85	могут быть	4	2
86	что в	6	2
87	с другом	2	2
88	тот же	2	2
89	на его	5	2
90	в самом	13	2
91	друг с	2	2
92	в которой	2	2
93	в науке	2	2
94	в его	22	2
95	все те	2	2
