N	2gram	Bakhtin_Pr_1	formyVre
1	и в	23	50
2	то есть	24	33
3	в романе	11	32
4	в этом	25	25
5	в нем	20	24
6	человека в	5	17
7	и его	13	16
8	в литературе	3	16
9	прежде всего	7	15
10	и не	34	14
11	как мы	5	14
12	вовсе не	8	13
13	как раз	4	13
14	в его	24	13
15	по существу	4	12
16	так и	10	12
17	может быть	21	11
18	таким образом	11	11
19	мы уже	2	11
20	то же	10	11
21	и как	8	10
22	но в	4	10
23	в конце	5	9
24	в том	11	9
25	же время	7	9
26	все эти	8	9
27	в то	10	9
28	не только	13	9
29	с его	6	9
30	роль в	2	9
31	ничего не	6	9
32	в самом	8	8
33	и их	2	8
34	но и	11	8
35	и на	10	8
36	как и	8	8
37	жизни и	6	8
38	ни в	3	8
39	не было	3	7
40	и во	2	7
41	в условиях	2	7
42	для себя	2	7
43	героя и	5	7
44	так сказать	3	7
45	все же	5	6
46	это не	10	6
47	например в	3	6
48	с ее	2	6
49	в их	3	6
50	не может	11	6
51	лишь в	3	6
52	так же	6	6
53	в результате	4	6
54	так как	7	6
55	у него	6	6
56	и все	3	6
57	в жизни	6	6
58	во всех	5	6
59	то что	18	6
60	как в	6	6
61	человеческой жизни	2	6
62	что в	8	5
63	и другие	2	5
64	не в	6	5
65	в пределах	9	5
66	в основе	5	5
67	точки зрения	21	5
68	всех этих	3	5
69	но все	4	5
70	если бы	10	5
71	в пространстве	3	5
72	романа в	4	5
73	но не	8	5
74	еще не	5	5
75	он не	4	5
76	в основном	2	5
77	отношению к	11	5
78	того чтобы	4	5
79	для того	2	5
80	и у	4	5
81	в своем	8	4
82	как человек	2	4
83	кроме того	3	4
84	до конца	5	4
85	европейского романа	4	4
86	этого мира	4	4
87	в котором	2	4
88	романа но	2	4
89	все это	7	4
90	для других	2	4
91	конечно и	4	4
92	потому что	12	4
93	и с	4	4
94	к себе	2	4
95	в них	3	4
96	роман в	2	4
97	то время	2	4
98	в процессе	4	4
99	или как	5	4
100	и т.п	3	4
101	себе самому	3	4
102	в той	6	4
103	том что	9	4
104	и для	3	4
105	только в	8	4
106	и это	5	4
107	не могут	6	3
108	себя и	2	3
109	в этих	2	3
110	в отношении	2	3
111	да и	2	3
112	при этом	3	3
113	себе и	3	3
114	и уже	3	3
115	мира в	6	3
116	один из	2	3
117	в форме	6	3
118	по отношению	11	3
119	отношения к	2	3
120	этом отношении	5	3
121	именно в	6	3
122	и других	5	3
123	но эта	4	3
124	они не	3	3
125	романа и	4	3
126	друг друга	3	3
127	а в	7	3
128	их в	2	3
129	сказать что	5	3
130	самим собою	2	3
131	его в	4	3
132	в одном	9	3
133	поэтому и	2	3
134	но они	4	3
135	а как	6	3
136	был бы	5	3
137	к этому	2	3
138	что было	3	3
139	есть не	2	3
140	же в	2	3
141	в сущности	5	3
142	по преимуществу	3	3
143	и потому	3	3
144	что и	5	3
145	вместе с	2	3
146	сих пор	2	3
147	во всей	2	3
148	во времени	3	3
149	а не	20	3
150	между ними	2	3
151	мы не	2	3
152	мы видим	3	3
153	с другими	7	3
154	более того	3	3
155	во всяком	4	3
156	героев и	6	3
157	в себе	5	3
158	входит в	2	3
159	до сих	2	3
160	романа не	3	2
161	уже в	5	2
162	самого начала	3	2
163	никогда не	5	2
164	друг другу	2	2
165	точку зрения	4	2
166	с другой	2	2
167	мир и	6	2
168	на материале	3	2
169	что все	3	2
170	была бы	2	2
171	вопрос о	4	2
172	он у	2	2
173	нового типа	2	2
174	для нас	3	2
175	с самого	2	2
176	с их	5	2
177	лишь как	5	2
178	есть в	3	2
179	для него	15	2
180	но для	2	2
181	его мире	2	2
182	в целом	4	2
183	подходе к	2	2
184	и изображения	4	2
185	в самой	7	2
186	того что	2	2
187	и даже	3	2
188	и по	2	2
189	рядом с	13	2
190	в которых	2	2
191	но он	2	2
192	в истории	2	2
193	мы должны	2	2
194	все то	4	2
195	как он	2	2
196	мир в	2	2
197	с ним	6	2
198	человек и	2	2
199	в романах	7	2
200	вне его	2	2
201	к другому	2	2
202	что имеет	2	2
203	не как	12	2
204	же что	2	2
205	раз и	3	2
206	его целом	5	2
207	по себе	7	2
208	углом зрения	2	2
209	и к	4	2
210	но конечно	2	2
211	время не	2	2
212	сочетается с	3	2
213	одна из	2	2
214	чем в	2	2
215	во все	3	2
216	эта форма	2	2
217	было бы	6	2
218	в этот	2	2
219	оно не	2	2
220	видения и	8	2
221	в своей	11	2
222	как бы	28	2
223	момент его	2	2
224	в отличие	2	2
225	уже не	8	2
226	с точки	15	2
227	хотя бы	2	2
228	в которой	4	2
229	той же	6	2
230	в данном	2	2
231	пределах отдельных	2	2
232	автора и	5	2
233	тем что	3	2
234	всей его	2	2
235	на себя	3	2
236	выражение в	4	2
237	его на	2	2
238	там где	6	2
239	отличие от	2	2
