N	2gram	Tiupa_Vved_1	KulturaY
1	в том	10	30
2	и в	13	24
3	потому что	5	23
4	том что	7	21
5	что в	3	17
6	было бы	4	15
7	в этом	21	14
8	может быть	18	13
9	все же	6	12
10	таким образом	4	12
11	в его	4	12
12	и не	12	12
13	не в	6	11
14	только в	6	11
15	в силу	2	10
16	в самом	2	10
17	не только	20	10
18	если бы	7	9
19	то что	6	9
20	прежде всего	7	9
21	язык как	2	9
22	отношению к	7	9
23	самом деле	3	9
24	того что	6	9
25	о том	5	9
26	том чтобы	2	8
27	по отношению	7	8
28	то же	5	8
29	уже не	5	8
30	а не	15	8
31	как раз	2	8
32	тем что	2	8
33	не менее	4	7
34	в них	2	7
35	с другой	5	7
36	в качестве	8	7
37	как бы	4	7
38	не может	7	7
39	это не	6	7
40	бы в	3	7
41	в области	3	7
42	так и	8	7
43	в какой	4	6
44	при этом	26	6
45	что такое	18	6
46	в ней	4	6
47	но и	19	6
48	что же	3	6
49	другой стороны	2	6
50	можно было	2	6
51	мы имеем	5	6
52	мере в	2	6
53	той мере	2	5
54	к тому	6	5
55	но не	5	5
56	еще не	7	5
57	например в	2	5
58	целый ряд	2	5
59	этом отношении	4	5
60	в той	4	5
61	а в	6	5
62	и его	5	5
63	в результате	3	5
64	так сказать	2	5
65	с ним	3	5
66	и с	2	5
67	в рамках	4	4
68	в частности	13	4
69	в этих	3	4
70	в нем	5	4
71	есть в	2	4
72	в пределах	2	4
73	один из	3	4
74	что и	2	4
75	тем не	3	4
76	в целом	3	4
77	со стороны	5	4
78	как в	4	4
79	внимание на	3	4
80	тем самым	5	4
81	и на	3	4
82	в данном	13	4
83	из этих	3	4
84	состоит в	10	3
85	или иной	3	3
86	можно сказать	4	3
87	сводится к	4	3
88	в первом	2	3
89	ли не	2	3
90	в соответствии	6	3
91	соответствии с	6	3
92	в противовес	3	3
93	свою очередь	4	3
94	в свою	4	3
95	связано с	3	3
96	в котором	8	3
97	не с	3	3
98	или менее	2	3
99	в своем	5	3
100	а с	2	3
101	не было	2	3
102	более или	2	3
103	должна быть	2	3
104	хотя и	7	3
105	в речи	2	3
106	в себе	5	3
107	это только	2	3
108	здесь не	2	3
109	к которому	2	3
110	том как	3	3
111	не все	2	2
112	и более	3	2
113	для них	3	2
114	о чем	2	2
115	никогда не	4	2
116	по большей	3	2
117	не является	3	2
118	и все	4	2
119	что касается	5	2
120	на самом	4	2
121	не всегда	2	2
122	по себе	2	2
123	большей части	3	2
124	слова но	2	2
125	в то	4	2
126	как о	2	2
127	для нас	2	2
128	и того	2	2
129	как и	11	2
130	а на	2	2
131	а то	2	2
132	же время	3	2
133	когда в	2	2
134	ли это	2	2
135	и сами	2	2
136	в своей	5	2
137	одним из	5	2
138	никак не	2	2
139	если в	2	2
140	и тем	2	2
141	в современной	3	2
142	бы и	4	2
143	то и	2	2
144	он не	3	2
145	и для	3	2
146	иначе говоря	6	2
147	все равно	2	2
148	в слове	3	2
149	лишь в	2	2
150	во втором	2	2
151	этих случаях	2	2
152	свидетельствует о	4	2
153	не имеет	2	2
154	или иначе	2	2
155	по своим	3	2
156	не столько	4	2
157	также и	4	2
158	о котором	2	2
159	может служить	4	2
160	до конца	3	2
161	тогда как	10	2
162	но в	6	2
163	но также	2	2
