N	2gram	Potebnia_M_4	RusskieA
1	и в	23	29
2	что в	17	22
3	том что	12	22
4	в том	23	22
5	как бы	5	18
6	состоит в	2	15
7	в других	2	15
8	может быть	26	13
9	так как	14	13
10	во время	2	12
11	там же	3	12
12	как и	14	11
13	в этом	23	11
14	все это	5	10
15	и с	4	10
16	не только	10	10
17	о том	8	9
18	а в	5	9
19	во многих	2	9
20	но и	11	8
21	его в	4	8
22	данном случае	2	7
23	как в	7	7
24	с тем	7	6
25	мы не	8	6
26	этом случае	5	6
27	еще не	3	6
28	для того	6	6
29	для нас	14	6
30	вместе с	6	6
31	таким образом	24	6
32	при этом	15	6
33	того чтобы	4	6
34	и на	3	6
35	в данном	4	6
36	на нее	3	6
37	мы имеем	4	6
38	потому что	33	5
39	это не	7	5
40	то что	29	5
41	и что	7	5
42	и т	7	5
43	не может	11	5
44	т д	3	5
45	но в	8	5
46	именно в	3	4
47	в них	3	4
48	и все	4	4
49	тогда когда	8	4
50	вопрос о	2	4
51	уже не	3	4
52	так что	5	4
53	не в	11	4
54	предположить что	4	4
55	этих случаях	2	4
56	к нему	5	4
57	том же	2	4
58	так же	4	4
59	то и	4	4
60	то же	14	4
61	у нас	2	4
62	а не	12	4
63	в таком	4	4
64	в которых	3	4
65	их в	3	4
66	в виде	2	4
67	что по	2	4
68	что от	2	3
69	тем что	10	3
70	в этих	3	3
71	и других	3	3
72	не всегда	3	3
73	в ее	2	3
74	за ним	2	3
75	она не	2	3
76	в лес	6	3
77	того что	14	3
78	было бы	8	3
79	и о	4	3
80	что она	2	3
81	в котором	4	3
82	с другими	4	3
83	не имеет	5	3
84	только тогда	5	3
85	а именно	4	3
86	все эти	3	3
87	и по	3	3
88	друг друга	2	3
89	как мы	2	3
90	выше мы	2	3
91	тому как	2	3
92	между тем	9	3
93	подобно тому	2	3
94	такие же	5	3
95	в таких	2	3
96	что это	7	3
97	не менее	5	2
98	и многие	2	2
99	связь между	3	2
100	связи с	3	2
101	об этом	2	2
102	могут быть	7	2
103	никогда не	3	2
104	переход от	3	2
105	из нее	2	2
106	с другой	2	2
107	из этих	2	2
108	в образе	2	2
109	более позднее	2	2
110	не что	2	2
111	что и	7	2
112	к ней	2	2
113	человека а	2	2
114	кроме того	3	2
115	и как	2	2
116	в ряд	2	2
117	и при	2	2
118	чем в	2	2
119	очевидно что	7	2
120	не имели	2	2
121	после того	2	2
122	только как	4	2
123	что на	2	2
124	тем не	4	2
125	из этого	2	2
126	в виду	3	2
127	на доску	2	2
128	как оно	2	2
129	один из	2	2
130	не с	2	2
131	все в	2	2
132	дело не	2	2
133	природы и	2	2
134	влияние на	2	2
135	тогда как	4	2
136	того как	6	2
137	не было	12	2
138	в течение	2	2
139	на самом	3	2
140	образом в	5	2
141	там где	3	2
142	этот вопрос	3	2
143	здесь мы	2	2
144	эта связь	2	2
145	тем и	6	2
146	из которых	2	2
147	и для	2	2
148	должно быть	5	2
149	можно было	2	2
150	так в	3	2
151	в своих	2	2
152	и то	5	2
153	которое в	3	2
154	с этим	7	2
155	от земли	2	2
156	что иное	2	2
157	в то	4	2
158	видно что	4	2
159	такая форма	2	2
160	когда мы	6	2
161	заметить что	6	2
162	в которой	6	2
163	есть в	5	2
164	иное как	2	2
165	не можем	5	2
