N	2gram	Propp_Morf_1	Komedia
1	и в	13	22
2	и не	12	21
3	т е	21	16
4	том что	4	13
5	в том	6	12
6	таким образом	21	12
7	со стороны	3	11
8	так как	16	11
9	потому что	3	10
10	если бы	2	8
11	что он	4	8
12	что и	7	8
13	в этом	14	8
14	о том	2	8
15	его в	2	8
16	об этом	4	7
17	то же	7	7
18	не по	2	7
19	только что	2	7
20	а в	7	7
21	во время	6	6
22	к этому	3	6
23	ясно что	5	6
24	еще не	3	6
25	для того	2	6
26	к тому	4	6
27	может быть	52	6
28	самом деле	4	6
29	и что	2	6
30	того чтобы	3	6
31	в то	3	6
32	не менее	5	5
33	связи с	10	5
34	что в	8	5
35	прежде всего	9	5
36	то это	3	5
37	а по	3	5
38	что его	2	5
39	как это	3	5
40	в жены	2	5
41	хотя и	3	5
42	не только	4	5
43	из них	3	5
44	по отношению	4	5
45	из дома	9	5
46	он не	3	5
47	тем что	4	5
48	к нему	3	5
49	в которых	2	5
50	но в	2	5
51	с тем	2	4
52	но все	3	4
53	однако в	2	4
54	между собой	4	4
55	с другой	8	4
56	сразу же	2	4
57	вовсе не	4	4
58	и здесь	5	4
59	все же	7	4
60	не в	3	4
61	несмотря на	4	4
62	и т	41	4
63	то что	8	4
64	но и	4	4
65	на него	3	4
66	что она	2	4
67	из дому	2	4
68	а не	11	4
69	и для	2	4
70	друг друга	3	4
71	так же	3	4
72	точки зрения	2	4
73	в связи	9	4
74	так и	6	4
75	не является	3	4
76	хотя бы	4	4
77	с его	2	3
78	прежде чем	3	3
79	в частности	2	3
80	в глаза	2	3
81	то ни	3	3
82	в какой	3	3
83	с этим	11	3
84	по всему	2	3
85	далеко не	5	3
86	на то	2	3
87	и к	4	3
88	тем не	5	3
89	как и	3	3
90	в начале	3	3
91	в этой	2	3
92	по своему	2	3
93	который в	2	3
94	было бы	3	3
95	как бы	3	3
96	к началу	4	3
97	один из	5	3
98	отношению к	4	3
99	в целом	3	3
100	даже не	3	3
101	приводит к	2	3
102	не может	14	3
103	с точки	2	3
104	не имеет	2	3
105	в других	3	3
106	мы можем	2	3
107	во всяком	2	3
108	но если	7	3
109	представляет собой	17	3
110	говорить о	3	3
111	и этим	5	3
112	в которой	3	3
113	ничего не	4	3
114	всяком случае	2	3
115	на вопрос	2	2
116	сам он	3	2
117	ни было	2	2
118	состоит в	2	2
119	себя и	2	2
120	в качестве	5	2
121	как в	3	2
122	это не	6	2
123	в образе	4	2
124	с просьбой	3	2
125	не могут	4	2
126	если мы	5	2
127	этом случае	8	2
128	без всякого	2	2
129	а затем	4	2
130	не слишком	2	2
131	по существу	12	2
132	из его	2	2
133	что они	2	2
134	она не	2	2
135	бы то	3	2
136	а на	3	2
137	то время	3	2
138	в пределах	3	2
139	на его	4	2
140	в сущности	3	2
141	от того	3	2
142	в свое	2	2
143	а также	4	2
144	если же	5	2
145	представляют собой	11	2
146	не с	2	2
147	во всех	4	2
148	наряду с	5	2
149	дело не	2	2
150	как мы	6	2
151	другой стороны	4	2
152	все еще	3	2
153	целый ряд	3	2
154	время как	3	2
155	мы не	8	2
156	из которых	3	2
157	же между	2	2
158	после чего	2	2
159	можно было	2	2
160	в результате	7	2
161	тому что	4	2
162	между тем	5	2
163	в руки	3	2
164	за ней	2	2
165	вывод что	2	2
166	и ее	3	2
167	в другом	2	2
168	что мы	2	2
169	что эта	2	2
170	здесь не	2	2
