N	2gram	Berdyaev_N_1	formyVre
1	и в	16	46
2	в этом	7	22
3	прежде всего	4	14
4	не только	5	11
5	во всех	3	11
6	в том	8	10
7	но в	2	10
8	у него	2	9
9	не в	6	9
10	мира и	2	9
11	вместе с	2	9
12	но и	3	9
13	и не	11	9
14	и для	4	9
15	как и	7	8
16	жизни и	8	8
17	того чтобы	2	8
18	потому что	4	8
19	в них	4	7
20	может быть	7	7
21	то что	4	7
22	так и	2	7
23	времени в	2	7
24	и на	2	7
25	никогда не	6	6
26	и все	4	6
27	еще не	3	6
28	все это	5	6
29	в основе	3	6
30	и с	2	6
31	с этим	2	5
32	по существу	2	5
33	в то	2	5
34	но не	2	5
35	он не	8	5
36	в нем	5	5
37	что в	9	5
38	все эти	2	5
39	в смысле	2	5
40	должно быть	4	5
41	место в	2	4
42	жизни в	3	4
43	человека и	3	4
44	том что	2	4
45	в мире	3	4
46	конечно не	3	4
47	как в	3	4
48	в эпоху	9	4
49	а не	17	4
50	в себе	2	4
51	в истории	3	4
52	о том	4	4
53	и было	2	4
54	не было	4	3
55	в средние	3	3
56	все они	2	3
57	к тому	3	3
58	в прошлом	3	3
59	средние века	7	3
60	хотя и	2	3
61	нет и	2	3
62	уже не	2	3
63	и даже	2	3
64	а в	2	3
65	роль в	2	3
66	на протяжении	2	3
67	самой жизни	2	3
68	к реальному	3	3
69	не могли	2	3
70	и весь	2	2
71	по своему	4	2
72	и есть	10	2
73	с другой	3	2
74	это не	4	2
75	эти формы	3	2
76	что все	2	2
77	в духе	3	2
78	для нового	2	2
79	бога и	3	2
80	перестает быть	4	2
81	с тем	3	2
82	в час	4	2
83	совсем не	12	2
84	равно как	2	2
85	смысле слова	3	2
86	и пр	3	2
87	она не	3	2
88	и к	5	2
89	наряду с	3	2
90	к ним	3	2
91	и потому	4	2
92	для чего	2	2
93	века и	2	2
94	и т.п	2	2
95	не может	16	2
96	с одной	2	2
97	лишь в	6	2
98	жизни как	2	2
99	эпохи и	4	2
100	так же	2	2
101	но это	6	2
102	и от	2	2
103	могут быть	2	2
104	этот мир	2	2
105	не могла	2	2
106	не знает	6	2
107	и это	2	2
108	как это	2	2
109	и должно	2	2
110	значит что	4	2
