N	2gram	Kanaev_Sov_1	KulturaY
1	и в	7	23
2	точки зрения	12	23
3	в том	4	22
4	не только	4	17
5	было бы	3	16
6	в этом	7	16
7	с точки	5	16
8	в области	3	14
9	может быть	12	14
10	самом деле	2	14
11	что в	2	13
12	в самом	2	13
13	не менее	2	12
14	вопрос о	4	11
15	а не	3	11
16	в его	2	11
17	у нас	3	10
18	и не	6	10
19	прежде всего	5	9
20	тем не	2	9
21	еще не	3	9
22	таким образом	11	9
23	так как	4	9
24	зависимости от	4	8
25	уже не	2	8
26	в нашем	2	7
27	или иной	2	7
28	если мы	4	7
29	в зависимости	4	7
30	и что	2	7
31	все эти	5	7
32	тот же	2	6
33	при этом	3	6
34	не может	17	6
35	то же	3	6
36	с помощью	4	6
37	могут быть	2	6
38	говорить о	2	6
39	ничего не	6	6
40	что же	5	5
41	не могут	2	5
42	и есть	2	5
43	как и	6	5
44	не в	3	5
45	совершенно не	2	5
46	что она	3	5
47	как бы	4	5
48	все же	3	5
49	не будем	2	5
50	как мы	2	5
51	а в	4	5
52	из этих	2	5
53	в первом	3	5
54	же мы	2	4
55	ясно что	3	4
56	для нас	3	4
57	в целом	4	4
58	с одной	2	4
59	что такое	2	4
60	в таком	2	4
61	уже в	3	3
62	что это	2	3
63	отнюдь не	3	3
64	это не	4	3
65	и к	3	3
66	мы видели	4	3
67	и именно	2	3
68	мы не	9	3
69	и пр	2	3
70	той же	2	3
71	в результате	6	3
72	может иметь	2	3
73	мы должны	4	3
74	когда мы	3	3
75	так сказать	2	2
76	такой же	2	2
77	все это	3	2
78	но все	2	2
79	точку зрения	4	2
80	в одном	3	2
81	что все	2	2
82	можно использовать	2	2
83	в условиях	5	2
84	не дает	2	2
85	же это	4	2
86	в дальнейшем	4	2
87	тот или	2	2
88	все те	2	2
89	дает нам	2	2
90	но мы	3	2
91	в некоторых	2	2
92	вместе с	4	2
93	значение в	2	2
94	отличается от	3	2
95	то и	2	2
96	в отличие	2	2
97	о значении	2	2
98	еще более	2	2
99	который как	2	2
100	говорим о	2	2
101	на этот	2	2
102	тем же	2	2
103	во всяком	2	2
104	он в	3	2
105	мы называем	3	2
106	на этом	2	2
107	если же	2	2
108	как он	3	2
109	она может	2	2
110	само собою	3	2
111	отличие от	2	2
112	но в	3	2
