N	2gram	Nazirov_Tr_1	Problemy
1	и не	7	31
2	и в	18	29
3	в его	3	24
4	может быть	7	24
5	в этом	9	22
6	как бы	7	19
7	в нем	4	19
8	для него	3	18
9	у достоевского	5	16
10	не только	8	15
11	то что	4	15
12	но и	4	14
13	и его	6	14
14	то же	5	14
15	уже не	2	13
16	романа достоевского	2	12
17	как и	5	12
18	роман достоевского	2	12
19	достоевского в	3	12
20	не может	5	12
21	в одном	2	10
22	в самом	2	10
23	в то	5	10
24	с его	2	9
25	это не	5	9
26	все же	5	9
27	в романе	10	9
28	же время	6	9
29	все эти	3	9
30	в своем	3	8
31	до конца	2	8
32	что он	6	8
33	что в	4	8
34	потому что	2	8
35	в том	2	8
36	прежде всего	4	7
37	а как	2	7
38	том что	4	7
39	не в	2	7
40	так и	5	7
41	и как	3	7
42	и на	7	7
43	в себе	4	7
44	но в	6	7
45	все это	4	6
46	в конце	3	6
47	не могут	2	6
48	достоевский в	7	6
49	в целом	4	6
50	несмотря на	5	6
51	к нему	3	6
52	что она	2	6
53	как в	3	6
54	в мире	3	6
55	так же	4	6
56	его в	2	6
57	перед нами	2	5
58	романах достоевского	2	5
59	но все	2	5
60	еще не	4	5
61	у него	6	5
62	он не	2	5
63	он и	2	5
64	для достоевского	2	5
65	и это	2	5
66	с ним	3	5
67	ничего не	2	5
68	раз и	2	4
69	бы и	2	4
70	что и	2	4
71	ивана карамазова	2	4
72	но это	4	4
73	и с	7	4
74	тем что	2	4
75	но эта	2	4
76	как же	2	4
77	должно быть	3	4
78	в этой	4	4
79	уже в	3	3
80	я не	4	3
81	он сам	7	3
82	никогда не	2	3
83	романа и	3	3
84	ни в	2	3
85	одна из	2	3
86	достоевский не	4	3
87	и до	2	3
88	друг друга	2	3
89	и здесь	2	3
90	как будто	3	3
91	но они	2	2
92	вопрос о	2	2
93	и ее	2	2
94	так что	2	2
95	при этом	3	2
96	и сам	3	2
97	если б	2	2
98	но этого	2	2
99	один из	3	2
100	отношение к	2	2
101	данном случае	2	2
102	то и	2	2
103	и даже	4	2
104	и что	4	2
105	в данном	2	2
106	автора но	2	2
