N	2gram	Tiupa_Vved_1	Hudozhes
1	том что	7	16
2	и в	13	14
3	так и	8	13
4	а не	15	12
5	в том	10	12
6	не только	20	12
7	при этом	26	12
8	о том	5	12
9	прежде всего	7	11
10	в этом	21	11
11	в себе	5	11
12	в рассказе	6	11
13	для него	3	10
14	в своей	5	10
15	чеховского рассказа	3	9
16	как и	11	9
17	в качестве	8	9
18	то же	5	9
19	как в	4	8
20	то что	6	8
21	же время	3	8
22	отношению к	7	8
23	по отношению	7	8
24	в то	4	8
25	в его	4	8
26	это не	6	7
27	к тому	6	7
28	уже не	5	7
29	не в	6	7
30	еще не	7	7
31	своего рода	10	7
32	как бы	4	7
33	не может	7	7
34	а в	6	7
35	тогда как	10	7
36	никогда не	4	6
37	что в	3	6
38	было бы	4	6
39	жизни в	4	6
40	в концовке	2	6
41	как правило	6	6
42	не менее	4	5
43	перед нами	6	5
44	в частности	13	5
45	в этих	3	5
46	об этом	4	5
47	может быть	18	5
48	только в	6	5
49	в аспекте	2	5
50	но и	19	5
51	жизни и	7	5
52	самом деле	3	5
53	и его	5	5
54	можно было	2	5
55	потому что	5	5
56	героя и	3	5
57	но в	6	5
58	в своем	5	4
59	и от	2	4
60	и все	4	4
61	можно сказать	4	4
62	и к	2	4
63	тем не	3	4
64	картины мира	5	4
65	в самом	2	4
66	в ней	4	4
67	один из	3	4
68	картина мира	12	4
69	как раз	2	4
70	в центре	2	4
71	не было	2	4
72	человеческой жизни	3	4
73	того что	6	4
74	он не	3	4
75	по своей	3	4
76	как будто	4	4
77	всего лишь	5	4
78	с ним	3	4
79	и с	2	4
80	но не	5	3
81	если бы	7	3
82	отнюдь не	7	3
83	в литературе	2	3
84	в мире	8	3
85	как мы	3	3
86	в ходе	2	3
87	как его	2	3
88	говорить о	2	3
89	по своему	2	3
90	в пределах	2	3
91	такого рода	16	3
92	еще в	2	3
93	в нем	5	3
94	все же	6	3
95	встрече с	2	3
96	рассказа о	2	3
97	со стороны	5	3
98	в чеховском	2	3
99	в тексте	10	3
100	приводит к	2	3
101	то и	2	3
102	и для	3	3
103	этом отношении	4	3
104	лишь в	2	3
105	и по	3	3
106	в своих	2	3
107	или не	2	3
108	тем что	2	3
109	однако и	2	3
110	и на	3	3
111	в финале	2	3
112	будто бы	3	3
113	картину мира	3	3
114	а также	8	3
115	едва ли	3	3
116	том как	3	3
117	в рамках	4	2
118	если в	2	2
119	однако в	4	2
120	так в	4	2
121	или напротив	2	2
122	не столько	4	2
123	установкой на	2	2
124	в одной	2	2
125	на фоне	2	2
126	по себе	2	2
127	художественного письма	7	2
128	что на	2	2
129	состоит в	10	2
130	к чеховскому	2	2
131	жизни так	2	2
132	в противовес	3	2
133	одна из	4	2
134	по выражению	2	2
135	а то	2	2
136	в целом	3	2
137	до конца	3	2
138	у нее	2	2
139	в данной	2	2
140	например в	2	2
141	в начале	3	2
142	вместо того	2	2
143	а его	2	2
144	никак не	2	2
145	хотя и	7	2
146	своей природе	2	2
147	как он	2	2
148	в е	2	2
149	на него	2	2
150	что же	3	2
151	как по	2	2
152	внимание на	3	2
153	а с	2	2
154	иначе говоря	6	2
155	от нормы	2	2
156	все равно	2	2
157	и не	12	2
158	при всей	2	2
159	на самом	4	2
160	в речи	2	2
161	не имеет	2	2
162	персонажа в	2	2
163	или иначе	2	2
164	в результате	3	2
165	пока еще	4	2
166	действующих лиц	2	2
167	не о	2	2
168	о котором	2	2
169	слова в	2	2
170	с позиции	2	2
171	не следует	3	2
172	представляют собой	3	2
173	здесь не	2	2
174	так сказать	2	2
175	которая не	2	2
176	мы не	4	2
