N	2gram	Berdyaev_M_2	OGranits
1	и в	46	13
2	и его	5	12
3	прежде всего	12	9
4	не может	15	8
5	и не	18	8
6	может быть	21	8
7	точки зрения	2	7
8	в его	5	7
9	не только	18	6
10	то что	5	6
11	только в	3	6
12	как бы	8	6
13	и эта	2	5
14	хотя бы	7	5
15	то же	5	4
16	в своей	5	4
17	вопроса о	4	4
18	в каждом	3	4
19	только и	4	4
20	лишь в	2	4
21	но в	10	4
22	связана с	7	3
23	отношению к	2	3
24	что в	4	3
25	никогда не	18	3
26	но и	15	3
27	так и	4	3
28	что же	2	3
29	по отношению	2	3
30	и все	5	3
31	превращается в	2	3
32	да и	2	3
33	как и	13	3
34	не в	9	3
35	в которой	2	3
36	есть прежде	5	3
37	в себе	10	3
38	и для	7	3
39	так как	8	3
40	но для	2	3
41	еще в	2	2
42	уже в	2	2
43	в нем	22	2
44	ее в	2	2
45	сознания и	2	2
46	а не	13	2
47	думать что	4	2
48	в отношении	5	2
49	в них	3	2
50	и должно	3	2
51	а в	2	2
52	те же	5	2
53	есть не	5	2
54	к тому	5	2
55	и к	7	2
56	как в	7	2
57	если бы	3	2
58	в чем	3	2
59	не имеет	4	2
60	в том	3	2
61	что иное	3	2
62	так же	6	2
63	не мог	3	2
64	том что	4	2
65	мы видим	2	2
66	в своих	3	2
67	что они	3	2
68	в этом	20	2
69	от этого	2	2
70	тем что	3	2
71	между тем	2	2
72	смысле слова	3	2
73	не что	3	2
74	для него	18	2
75	во всем	5	2
76	тот же	2	2
77	в действительности	2	2
78	его на	4	2
79	нет ничего	3	2
80	в самом	5	2
81	бы в	2	2
82	в ней	11	2
83	иное как	3	2
