N	2gram	Tiupa_Disk_1	VrazhdaK
1	в году	2	18
2	не только	28	9
3	в этом	15	8
4	и что	2	8
5	и в	16	8
6	но и	14	7
7	что в	4	7
8	то что	5	7
9	и все	2	7
10	в котором	5	6
11	в нем	9	6
12	все же	3	6
13	и даже	3	6
14	как и	16	6
15	в начале	2	6
16	но в	8	6
17	о нем	2	6
18	то же	7	5
19	не было	7	5
20	и не	11	5
21	об этом	2	5
22	между тем	4	5
23	в то	3	5
24	же время	4	5
25	уже в	2	4
26	как бы	5	4
27	целый ряд	2	4
28	это не	3	4
29	что он	4	4
30	х годов	2	4
31	в своих	3	4
32	может быть	17	4
33	при этом	13	4
34	в истории	4	4
35	о том	8	4
36	в виду	2	4
37	с его	4	3
38	связи с	4	3
39	в своем	6	3
40	и во	2	3
41	к этому	2	3
42	человека в	2	3
43	в том	23	3
44	и его	2	3
45	том что	19	3
46	и как	6	3
47	тем что	3	3
48	в его	7	3
49	далеко не	10	3
50	и о	4	3
51	одним из	2	3
52	и т.п	12	2
53	а с	5	2
54	в своей	5	2
55	из них	3	2
56	не менее	2	2
57	никогда не	2	2
58	отнюдь не	8	2
59	в них	4	2
60	столь же	3	2
61	не может	9	2
62	а в	5	2
63	тогда как	19	2
64	отношения к	2	2
65	таким образом	3	2
66	это в	2	2
67	уже не	4	2
68	к себе	2	2
69	и он	2	2
70	в этой	2	2
71	в момент	2	2
72	но как	2	2
73	точки зрения	3	2
74	в свою	3	2
75	и ее	2	2
76	в себе	7	2
77	отношение к	4	2
78	для него	4	2
79	еще не	14	2
80	о чем	2	2
81	о романе	2	2
82	к ним	3	2
83	а также	8	2
