N	2gram	Bakhtin_Fr_4	VelikijI
1	и не	16	20
2	и в	29	16
3	то что	4	9
4	так как	7	9
5	еще не	4	8
6	что они	2	7
7	хотя и	2	5
8	как бы	8	5
9	но и	9	5
10	все это	4	5
11	того что	3	5
12	и есть	4	4
13	в образе	4	4
14	что он	4	4
15	в нем	5	4
16	как и	12	4
17	в котором	2	4
18	так и	11	4
19	в этом	11	4
20	в ней	3	4
21	и все	13	4
22	в его	8	4
23	с его	4	3
24	в этих	2	3
25	в них	7	3
26	превращается в	3	3
27	в конце	9	3
28	в жизни	2	3
29	ни в	2	3
30	в том	7	3
31	но это	4	3
32	что я	2	3
33	тот же	3	3
34	и мы	2	3
35	к тому	2	3
36	никогда не	2	3
37	жизни и	4	3
38	в своей	5	3
39	и они	3	3
40	и для	2	3
41	их в	2	3
42	все эти	9	3
43	нет ничего	2	3
44	в чем	3	3
45	но в	12	3
46	его и	2	2
47	это не	5	2
48	прежде всего	8	2
49	его к	2	2
50	да и	2	2
51	том что	3	2
52	но не	2	2
53	конечно не	4	2
54	и сам	3	2
55	того чтобы	3	2
56	не только	10	2
57	один из	4	2
58	но мы	2	2
59	и за	3	2
60	и любви	3	2
61	тем что	4	2
62	в себя	2	2
63	уже не	2	2
64	с ним	2	2
65	и то	2	2
66	мир и	2	2
67	только в	2	2
68	и это	2	2
69	мы слышим	4	2
