N	2gram	Potebnia_M_4	StatiiOP
1	и в	23	25
2	в этом	23	24
3	в том	23	20
4	что в	17	19
5	что он	4	19
6	может быть	26	19
7	тем что	10	19
8	что это	7	16
9	том что	12	15
10	в его	5	12
11	то что	29	12
12	не только	10	12
13	в этих	3	11
14	так что	5	11
15	таким образом	24	10
16	и не	18	10
17	но и	11	9
18	и т	7	8
19	все это	5	8
20	в языке	16	8
21	в своих	2	8
22	о том	8	8
23	это было	2	8
24	это не	7	7
25	было бы	8	7
26	с этим	7	7
27	не может	11	7
28	что такое	7	7
29	точки зрения	4	7
30	в то	4	7
31	из этих	2	6
32	не в	11	6
33	только в	15	6
34	как бы	5	6
35	как в	7	6
36	а в	5	6
37	и на	3	6
38	т п	4	6
39	в области	2	6
40	между тем	9	6
41	то же	14	5
42	независимо от	6	5
43	в них	3	5
44	потому что	33	5
45	с другой	2	5
46	на то	7	5
47	об этом	2	5
48	в котором	4	5
49	и это	2	5
50	а не	12	5
51	того что	14	5
52	он не	2	5
53	отношения между	2	5
54	так и	6	5
55	мы имеем	4	5
56	но в	8	5
57	с тем	7	4
58	всяком случае	3	4
59	состоит в	2	4
60	и др	2	4
61	по крайней	5	4
62	в каждом	3	4
63	а как	2	4
64	в смысле	3	4
65	крайней мере	5	4
66	у нас	2	4
67	как и	14	4
68	мы видим	2	4
69	это есть	3	4
70	но это	3	4
71	то в	3	4
72	можно сказать	4	4
73	если бы	13	4
74	например в	3	4
75	и к	6	4
76	на его	3	4
77	в ней	2	4
78	к ней	2	4
79	и тем	4	4
80	отношение к	2	4
81	в речи	3	4
82	из этого	2	4
83	не было	12	4
84	в течение	2	4
85	лишь в	3	4
86	из которых	2	4
87	с точки	3	4
88	к нему	5	4
89	и для	2	4
90	и с	4	4
91	в отдельных	2	4
92	можно назвать	2	4
93	сказать что	8	4
94	во всяком	5	4
95	в каком	4	4
96	в которой	6	4
97	что эти	3	4
98	на вопрос	4	3
99	что все	4	3
100	уже в	5	3
101	и более	4	3
102	тому что	2	3
103	во время	2	3
104	нельзя сказать	3	3
105	же время	3	3
106	с которым	2	3
107	и здесь	2	3
108	для него	5	3
109	тем более	5	3
110	что я	11	3
111	и что	7	3
112	кроме того	3	3
113	и если	3	3
114	между прочим	3	3
115	все эти	3	3
116	со стороны	3	3
117	уже не	3	3
118	что мы	10	3
119	не так	2	3
120	и его	2	3
121	в виде	2	3
122	говорить о	5	3
123	связи с	3	3
124	так как	14	3
125	что по	2	3
126	это слово	4	3
127	более и	2	2
128	при помощи	3	2
129	выражения как	2	2
130	не менее	5	2
131	все более	3	2
132	никогда не	3	2
133	по тому	2	2
134	и у	2	2
135	что у	3	2
136	в поэзии	3	2
137	тогда когда	8	2
138	вовсе не	7	2
139	его к	2	2
140	самого начала	2	2
141	к тому	3	2
142	как мы	2	2
143	на котором	4	2
144	не как	2	2
145	что его	2	2
146	если и	2	2
147	такое же	2	2
148	несколько слов	2	2
149	есть в	5	2
150	что если	6	2
151	формы в	3	2
152	в свою	2	2
153	до сих	4	2
154	только тогда	5	2
155	еще не	3	2
156	и может	4	2
157	быть назван	3	2
158	в это	2	2
159	к слову	3	2
160	в самом	3	2
161	в сущности	2	2
162	в виду	3	2
163	на себе	3	2
164	один из	2	2
165	тем не	4	2
166	каждый раз	4	2
167	вместе с	6	2
168	дело не	2	2
169	сих пор	4	2
170	в общих	2	2
171	только что	3	2
172	внимание на	5	2
173	и только	3	2
174	быть не	2	2
175	т д	3	2
176	и других	3	2
177	на нее	3	2
178	от того	4	2
179	самом деле	3	2
180	для того	6	2
181	что не	6	2
182	и по	3	2
183	той же	3	2
184	во многих	2	2
185	мы не	8	2
186	этот образ	2	2
187	между собою	4	2
188	в которых	3	2
189	то он	2	2
190	слово в	4	2
191	тем как	2	2
192	то и	4	2
193	но есть	4	2
194	могут быть	7	2
195	известно что	6	2
196	этого слова	7	2
197	том смысле	2	2
198	так сказать	5	2
199	не имеет	5	2
200	заметить что	6	2
201	и тот	3	2
202	то есть	34	2
