N	2gram	Berdyaev_N_1	Analitik
1	может быть	7	29
2	в том	8	27
3	не может	16	22
4	и не	11	21
5	и в	16	18
6	а не	17	17
7	но и	3	17
8	не только	5	15
9	не в	6	14
10	как и	7	13
11	в этом	7	13
12	том что	2	12
13	в себе	2	11
14	но не	2	10
15	а в	2	9
16	в то	2	9
17	в мире	3	8
18	не есть	3	8
19	но в	2	8
20	к тому	3	7
21	том чтобы	2	7
22	времени и	2	6
23	это не	4	6
24	прежде всего	4	6
25	себя в	2	6
26	должен быть	5	6
27	то что	4	6
28	в своей	3	6
29	в основе	3	6
30	что в	9	5
31	такого рода	2	5
32	и т.п	2	5
33	лишь в	6	5
34	и на	2	5
35	о том	4	5
36	могут быть	2	4
37	с другой	3	4
38	ни в	6	4
39	вместе с	2	4
40	так и	2	4
41	уже не	2	4
42	место в	2	3
43	с его	6	3
44	и есть	10	3
45	хотя бы	2	3
46	и все	4	3
47	в нем	5	3
48	и к	5	3
49	еще не	3	3
50	одной стороны	2	3
51	он не	8	3
52	не будет	7	3
53	на уровне	2	3
54	с одной	2	3
55	того чтобы	2	3
56	тому как	3	3
57	подобно тому	3	3
58	как будто	2	3
59	быть может	4	2
60	никогда не	6	2
61	все эти	2	2
62	для этого	2	2
63	том и	2	2
64	вопрос о	3	2
65	в категориях	2	2
66	и потому	4	2
67	такой же	2	2
68	должно быть	4	2
69	для чего	2	2
70	за пределы	3	2
71	нет и	2	2
72	не к	2	2
73	который в	2	2
74	другой стороны	2	2
75	личность в	2	2
76	роль в	2	2
77	культуры в	5	2
78	и заключается	2	2
79	думать что	2	2
80	потому что	4	2
81	и с	2	2
82	в новом	2	2
