N	2gram	Vinokur_St_3	VerxiiNi
1	и в	25	26
2	таким образом	10	22
3	с тем	4	18
4	вместе с	2	15
5	в этом	24	15
6	точки зрения	7	13
7	как бы	6	12
8	в том	20	11
9	может быть	19	10
10	не только	12	10
11	и с	4	10
12	из этих	6	10
13	связи с	3	9
14	что в	19	9
15	но и	9	9
16	в области	6	9
17	так как	3	9
18	с другой	5	8
19	но не	2	8
20	в общем	4	8
21	и не	10	8
22	и у	2	8
23	как на	6	8
24	том что	15	7
25	но все	2	7
26	одной стороны	3	7
27	к нему	4	7
28	то что	12	7
29	а с	2	7
30	с одной	2	7
31	потому что	5	7
32	но в	5	7
33	в конце	6	6
34	к тому	2	6
35	того же	2	6
36	несмотря на	3	6
37	всяком случае	4	6
38	все же	4	6
39	так и	5	6
40	все это	8	6
41	в отношении	2	6
42	все эти	3	6
43	с точки	4	6
44	во всяком	4	6
45	о том	8	6
46	и к	4	5
47	крайней мере	4	5
48	отношение к	4	5
49	до сих	2	5
50	одной из	2	5
51	в его	12	5
52	никогда не	2	5
53	сих пор	2	5
54	лишь в	4	5
55	а не	5	5
56	для того	2	5
57	не имеет	2	5
58	и для	4	5
59	по крайней	4	5
60	должен был	2	4
61	в этих	11	4
62	попадает в	3	4
63	что все	3	4
64	что он	19	4
65	в смысле	4	4
66	из которых	4	4
67	в самом	2	4
68	в котором	5	4
69	не может	7	4
70	и только	2	4
71	а в	6	4
72	то же	5	4
73	в течение	4	4
74	и что	3	4
75	и тогда	2	4
76	и по	2	4
77	в которых	2	4
78	во время	3	4
79	в виде	3	4
80	он не	5	4
81	в то	7	4
82	только в	6	4
83	то есть	2	4
84	в этой	14	4
85	не менее	2	3
86	в рамках	2	3
87	что это	16	3
88	если бы	4	3
89	как о	2	3
90	к этому	3	3
91	каждая из	3	3
92	можно сказать	4	3
93	для него	3	3
94	с самого	2	3
95	так что	11	3
96	в качестве	4	3
97	и если	3	3
98	если в	2	3
99	тем не	2	3
100	к сожалению	2	3
101	в связи	3	3
102	уже не	3	3
103	того что	5	3
104	в которой	4	3
105	с этой	3	3
106	в результате	2	3
107	что эти	4	3
108	конце концов	3	3
109	на нее	2	3
110	уже в	3	2
111	начиная с	2	2
112	самого начала	2	2
113	с его	3	2
114	состоит в	4	2
115	одно из	2	2
116	связана с	4	2
117	взгляд на	2	2
118	в них	5	2
119	по тому	2	2
120	не как	2	2
121	тогда когда	2	2
122	прежде всего	10	2
123	утверждать что	2	2
124	в свою	2	2
125	на то	5	2
126	или иной	2	2
127	от них	2	2
128	а также	4	2
129	и здесь	3	2
130	в начале	4	2
131	должна была	4	2
132	что именно	2	2
133	же время	3	2
134	связано с	5	2
135	что мы	3	2
136	еще не	2	2
137	один из	2	2
138	во всех	2	2
139	связь с	4	2
140	только что	2	2
141	отличается от	4	2
142	для этого	2	2
143	не было	4	2
144	этом отношении	4	2
145	мы имеем	5	2
146	его не	2	2
147	и на	6	2
148	в русском	2	2
149	связан с	3	2
150	можно назвать	4	2
151	сказать что	4	2
152	не в	6	2
153	и наконец	3	2
154	так чтобы	2	2
155	и это	5	2
156	которые в	2	2
157	в россии	6	2
158	из этого	4	2
159	относится к	4	2
160	не потому	2	2
161	в эту	4	2
162	к которому	3	2
163	между тем	6	2
164	в виду	2	2
165	в новом	2	2
