N	2gram	Bakhtin_Fr_3	RusskieA
1	и в	40	36
2	не только	13	22
3	что в	12	19
4	том что	4	19
5	в том	8	17
6	но и	11	16
7	так как	4	15
8	во время	8	14
9	и другие	2	13
10	в этом	15	12
11	в других	3	11
12	в этот	2	10
13	это не	2	10
14	как мы	10	10
15	как и	11	10
16	вместе с	3	10
17	и на	8	10
18	потому что	2	10
19	об этом	3	9
20	а в	3	9
21	у нас	4	8
22	мы увидим	2	8
23	из них	4	8
24	может быть	9	8
25	один из	4	8
26	о том	4	8
27	что и	3	7
28	так и	3	7
29	и других	6	7
30	между тем	3	7
31	и не	13	6
32	при этом	3	6
33	в них	9	6
34	таким образом	10	6
35	мы не	2	6
36	все это	4	6
37	то что	5	6
38	видно что	4	6
39	все же	2	5
40	как бы	3	5
41	в течение	2	5
42	и у	2	5
43	одно из	3	5
44	как в	3	5
45	в эти	2	4
46	из этих	2	4
47	к этому	6	4
48	одна из	3	4
49	еще не	3	4
50	связи с	6	4
51	вплоть до	3	4
52	еще в	3	4
53	и др	7	4
54	во всех	6	4
55	в их	4	4
56	с в	2	4
57	так в	4	4
58	не может	3	4
59	в связи	5	4
60	но это	3	4
61	тем что	3	4
62	только в	3	4
63	слова в	2	3
64	не менее	2	3
65	начиная с	3	3
66	к жизни	2	3
67	о чем	2	3
68	связанные с	3	3
69	в этих	6	3
70	в своем	7	3
71	но все	3	3
72	в одном	7	3
73	представление о	2	3
74	думать что	2	3
75	и к	3	3
76	других местах	3	3
77	на этом	2	3
78	только на	4	3
79	в основном	4	3
80	а также	4	3
81	своего рода	2	3
82	в разных	2	3
83	то же	7	3
84	к тем	2	3
85	их в	3	3
86	точки зрения	2	3
87	то есть	18	3
88	далеко не	2	3
89	этого слова	2	3
90	связаны с	5	3
91	в области	4	3
92	не было	5	2
93	всех этих	3	2
94	они были	3	2
95	до того	2	2
96	в частности	3	2
97	переход от	2	2
98	в нашем	4	2
99	только для	3	2
100	с этим	2	2
101	и потому	4	2
102	его к	2	2
103	в нем	5	2
104	у него	8	2
105	он был	3	2
106	и как	3	2
107	в дальнейшем	2	2
108	мы видим	5	2
109	но не	2	2
110	они и	2	2
111	как известно	2	2
112	до конца	6	2
113	не были	2	2
114	например в	2	2
115	связь между	3	2
116	том же	2	2
117	в ней	4	2
118	в его	13	2
119	и с	8	2
120	в целом	2	2
121	и до	8	2
122	в свете	3	2
123	для этого	3	2
124	к борьбе	2	2
125	в особенности	5	2
126	все эти	8	2
127	на самом	3	2
128	в году	5	2
129	а не	5	2
130	месяца в	2	2
131	и для	5	2
132	тут же	2	2
133	в своих	5	2
134	и здесь	4	2
135	но в	8	2
136	в один	2	2
137	как он	2	2
138	там где	3	2
139	в более	3	2
