N	2gram	Vinokur_Vv_1	Otkroven
1	и в	27	19
2	но и	5	13
3	и не	13	13
4	в этом	34	12
5	а не	3	11
6	не в	8	11
7	может быть	24	11
8	не только	21	11
9	вопрос о	8	10
10	в нем	13	10
11	никогда не	3	9
12	потому что	14	9
13	прежде всего	8	9
14	ни с	2	7
15	до конца	3	7
16	в его	10	7
17	все это	6	6
18	как и	5	6
19	него в	2	5
20	то что	17	5
21	а в	5	5
22	отношение к	3	5
23	в том	31	5
24	в этой	3	5
25	в самом	12	5
26	т е	38	4
27	он сам	3	4
28	того чтобы	21	4
29	что не	5	4
30	есть лишь	2	4
31	и его	5	4
32	все эти	3	4
33	не может	13	4
34	что в	11	4
35	к нему	2	3
36	не могут	5	3
37	в этих	3	3
38	и есть	3	3
39	мысли и	2	3
40	это не	8	3
41	о природе	7	3
42	и вот	3	3
43	что он	4	3
44	того что	12	3
45	для того	21	3
46	хотя бы	5	3
47	в своих	2	3
48	еще не	4	3
49	могут быть	4	3
50	и ее	4	3
51	в себе	4	3
52	было бы	5	3
53	о том	15	3
54	как бы	5	3
55	любовь к	4	2
56	в этот	2	2
57	уже в	5	2
58	все же	8	2
59	что и	3	2
60	не есть	4	2
61	и для	4	2
62	с тем	6	2
63	с чем	2	2
64	в истории	9	2
65	в своем	3	2
66	что же	3	2
67	романов достоевского	2	2
68	к этому	3	2
69	по себе	9	2
70	же это	2	2
71	о которой	2	2
72	не имеет	4	2
73	должно быть	2	2
74	в ее	11	2
75	том что	26	2
76	так что	5	2
77	в другом	3	2
78	и на	3	2
79	и то	5	2
80	сказать что	5	2
81	и с	2	2
82	чем в	3	2
83	учение о	2	2
84	совсем не	3	2
85	тем что	6	2
86	одно из	5	2
87	даже и	3	2
88	его в	6	2
89	должен был	4	2
90	в своей	4	2
91	так как	13	2
92	ничего не	2	2
93	не могли	2	2
94	хотя и	3	2
95	но в	10	2
