N	3gram	Tiupa_Anal_1	Myshleni
1	с точки зрения	4	21
2	для того чтобы	3	18
3	в том что	9	13
4	в данном случае	2	5
5	то же самое	2	5
6	с одной стороны	3	5
7	по отношению к	5	5
8	в самом деле	2	4
9	о том что	3	4
10	не может быть	16	4
11	в том и	2	3
12	в этом отношении	2	3
13	состоит в том	3	3
14	в первом случае	2	3
15	но и не	4	3
16	именно в этом	2	2
17	том что он	2	2
18	мере в какой	2	2
19	нет и не	2	2
20	в отличие от	6	2
21	из того что	3	2
22	в той мере	2	2
23	в конечном счете	4	2
24	того и другого	2	2
25	той мере в	2	2
