N	2gram	Losev_Vesc_1	Hudozhes
1	и в	21	28
2	том что	8	19
3	в ее	7	18
4	и не	29	18
5	в том	8	15
6	а не	19	14
7	не в	5	13
8	в этом	4	13
9	о том	6	12
10	перед нами	2	11
11	как и	8	11
12	в его	2	11
13	не только	36	11
14	уже не	9	10
15	не случайно	2	10
16	но и	18	9
17	в себе	14	9
18	в жизни	3	8
19	может быть	16	8
20	себя в	10	8
21	так и	3	8
22	я не	4	7
23	и все	5	7
24	к тому	3	7
25	об этом	3	7
26	что она	15	7
27	с ним	8	7
28	как это	2	7
29	это не	5	6
30	можно сказать	6	6
31	в котором	3	6
32	то что	27	6
33	жизни и	2	6
34	в своей	5	6
35	если бы	5	6
36	то же	6	6
37	сводится к	2	6
38	а в	4	6
39	и с	8	6
40	тем что	2	6
41	для себя	5	6
42	в то	3	6
43	я и	6	6
44	что это	13	5
45	не менее	3	5
46	у него	2	5
47	в своем	6	5
48	как бы	12	5
49	да и	3	5
50	с ее	6	5
51	в этой	3	5
52	что в	9	5
53	она не	4	5
54	в самом	9	5
55	никогда не	2	5
56	только на	3	5
57	и его	2	5
58	для него	4	5
59	ничего не	3	5
60	бы и	5	4
61	тому что	2	4
62	тем не	3	4
63	то в	4	4
64	но не	5	4
65	что они	6	4
66	для того	2	4
67	и о	3	4
68	для нее	2	4
69	что и	3	4
70	и т	19	4
71	и сама	3	4
72	как раз	9	4
73	то и	4	4
74	не может	17	4
75	того чтобы	3	4
76	подобно тому	4	4
77	только в	14	4
78	тому как	4	4
79	как только	4	3
80	была бы	2	3
81	с другой	6	3
82	в одном	2	3
83	к себе	4	3
84	что все	2	3
85	с нею	18	3
86	прежде всего	9	3
87	в нем	2	3
88	и ее	18	3
89	что на	2	3
90	для нас	2	3
91	самом деле	4	3
92	есть и	4	3
93	еще не	8	3
94	одной стороны	3	3
95	было бы	14	3
96	со своим	7	3
97	по преимуществу	2	3
98	в ней	12	3
99	мы уже	3	3
100	ли в	3	3
101	со стороны	5	3
102	все это	5	3
103	а с	3	3
104	с одной	3	3
105	у всех	3	3
106	или в	2	3
107	можно было	2	3
108	с другими	8	3
109	с ними	3	3
110	теперь же	2	3
111	что у	5	3
112	на ее	3	3
113	и это	14	3
114	в основе	3	2
115	себя с	5	2
116	только не	2	2
117	т е	55	2
118	себя и	4	2
119	отнюдь не	5	2
120	нельзя было	4	2
121	его и	2	2
122	а вот	3	2
123	и от	3	2
124	с собой	2	2
125	вовсе не	10	2
126	со всей	2	2
127	не с	7	2
128	знает и	2	2
129	как мы	4	2
130	что я	24	2
131	одна из	5	2
132	на этом	2	2
133	но именно	2	2
134	что не	5	2
135	и а	2	2
136	к ней	2	2
137	один из	3	2
138	оно не	3	2
139	все же	4	2
140	внутри себя	3	2
141	не будет	12	2
142	в первом	2	2
143	как же	3	2
144	из них	4	2
145	ни с	6	2
146	дело не	2	2
147	данном случае	2	2
148	что же	8	2
149	но еще	3	2
150	мысли и	3	2
151	чего не	2	2
152	т д	19	2
153	еще и	8	2
154	о которой	2	2
155	во втором	2	2
156	и у	3	2
157	и эта	3	2
158	между ними	3	2
159	хотя бы	6	2
160	и для	9	2
161	с точки	3	2
162	той же	2	2
163	в данном	5	2
164	и то	10	2
165	сказать что	17	2
166	потому что	16	2
167	точки зрения	5	2
168	самим собою	2	2
169	с самим	4	2
170	себе в	3	2
171	говорить о	6	2
172	в другом	2	2
173	могла бы	3	2
174	и только	3	2
175	его в	2	2
176	она может	4	2
177	но в	5	2
