N	3gram	Vygotskiy__1	Marksizm
1	с точки зрения	18	13
2	не может быть	5	10
3	то же время	2	8
4	в то же	2	8
5	по отношению к	7	8
6	в том что	15	6
7	для того чтобы	15	6
8	с самого начала	8	5
9	в самом деле	2	5
10	в свою очередь	3	5
11	то же самое	3	5
12	смысле этого слова	3	4
13	как если бы	2	4
14	к тому что	3	3
15	если бы он	2	3
16	одно и то	2	3
17	с одной стороны	8	3
18	о том что	6	3
19	и то же	2	3
20	в высшей степени	4	3
21	до сих пор	4	3
22	внутренней речи и	4	3
23	том что он	2	2
24	ни в какой	2	2
25	на то что	3	2
26	все более и	2	2
27	в собственном смысле	5	2
28	в зависимости от	2	2
29	в значительной степени	2	2
30	во всяком случае	3	2
31	более и более	2	2
