N	2gram	Tiupa_Disk_1	Problemy
1	и в	16	35
2	как бы	5	31
3	и не	11	27
4	что он	4	24
5	в его	7	21
6	но в	8	19
7	не может	9	18
8	к себе	2	18
9	как и	16	18
10	в нем	9	16
11	то есть	20	16
12	к другому	2	16
13	то же	7	15
14	и все	2	15
15	но и	14	14
16	для него	4	14
17	может быть	17	14
18	в сущности	2	14
19	и его	2	14
20	в этом	15	14
21	прежде всего	11	12
22	и к	4	12
23	в другом	2	12
24	в пределах	2	11
25	в то	3	11
26	не в	7	10
27	же время	4	10
28	не только	28	10
29	то что	5	10
30	героя и	2	10
31	так и	8	8
32	потому что	4	8
33	все же	3	8
34	как мы	2	8
35	лишь в	4	7
36	а в	5	7
37	точки зрения	3	7
38	с его	4	7
39	еще не	14	7
40	для себя	4	7
41	отношению к	9	7
42	что же	2	7
43	таким образом	3	7
44	слова в	2	6
45	что в	4	6
46	в каждом	2	6
47	к тому	5	6
48	и что	2	6
49	отношение к	4	6
50	в самом	3	6
51	и на	5	6
52	в одном	2	6
53	но не	11	6
54	и т.п	12	6
55	по отношению	9	6
56	только в	7	6
57	в том	23	5
58	как к	2	5
59	и даже	3	5
60	как в	10	5
61	внутренней речи	2	5
62	героя в	2	5
63	в себе	7	5
64	на протяжении	2	5
65	никогда не	2	4
66	с другой	10	4
67	или иной	5	4
68	но зато	2	4
69	на его	4	4
70	между тем	4	4
71	той или	3	4
72	но как	2	4
73	в них	4	4
74	по себе	3	4
75	по своему	3	4
76	еще в	3	4
77	в своей	5	4
78	а не	22	4
79	что не	4	4
80	и без	2	4
81	во всяком	2	4
82	тем что	3	4
83	уже в	2	3
84	тому же	5	3
85	с человеком	2	3
86	в виду	2	3
87	с ее	2	3
88	в целом	4	3
89	из них	3	3
90	другой стороны	3	3
91	в форме	2	3
92	в одной	3	3
93	того что	3	3
94	это не	3	3
95	сказать что	3	3
96	и во	2	3
97	в начале	2	3
98	в котором	5	3
99	не как	4	3
100	с этим	3	3
101	в ее	3	3
102	как его	2	3
103	том что	19	3
104	за пределы	2	3
105	во всех	5	3
106	что и	3	3
107	когда он	2	3
108	а с	5	3
109	сводится к	5	3
110	уже не	4	3
111	и т.д	4	3
112	так сказать	2	2
113	не менее	2	2
114	времени и	3	2
115	в сторону	4	2
116	столь же	3	2
117	это в	2	2
118	в построении	2	2
119	на этом	2	2
120	что с	2	2
121	при этом	13	2
122	было в	2	2
123	например в	2	2
124	к другим	2	2
125	совпадает с	2	2
126	хотя и	2	2
127	в своем	6	2
128	и по	2	2
129	тому как	3	2
130	характер и	2	2
131	в которых	4	2
132	по своей	11	2
133	что даже	2	2
134	о том	8	2
135	в первом	3	2
136	в произведении	3	2
137	однако в	3	2
138	будто бы	2	2
139	определяется не	2	2
140	слово не	2	2
141	и того	3	2
142	здесь в	2	2
143	одной из	4	2
144	о нем	2	2
145	себя в	2	2
146	своего рода	8	2
147	приводит к	2	2
148	в отличие	5	2
149	и он	2	2
150	и как	6	2
151	хотя бы	3	2
152	или в	2	2
153	в рассказе	2	2
154	пока еще	6	2
155	подобно тому	2	2
156	и вообще	2	2
157	в каждой	3	2
158	отличие от	5	2
159	это было	2	2
