N	3gram	Bakhtin_Pr_1	Marksizm
1	с точки зрения	6	20
2	не может быть	11	13
3	в самом деле	3	9
4	и не может	2	9
5	то ни было	2	8
6	бы то ни	3	8
7	в отличие от	5	5
8	с другой стороны	4	5
9	то же самое	2	3
10	в большинстве случаев	5	3
11	в то же	3	3
12	то же время	3	3
13	можно сказать что	2	3
14	в этом отношении	2	3
15	в высшей степени	5	3
16	в том что	3	3
17	для того чтобы	2	3
18	не могут быть	2	2
19	со всех сторон	2	2
20	на первый план	2	2
21	можно было бы	3	2
22	тем не менее	3	2
23	и прежде всего	5	2
24	в этом смысле	3	2
25	совершенно независимо от	2	2
26	по отношению к	19	2
27	одной из важнейших	2	2
