N	2gram	Bakhtin_fo_2	Dialekti
1	и не	9	27
2	а не	4	26
3	точки зрения	10	25
4	это значит	3	24
5	и в	46	24
6	и т	14	24
7	значит что	2	24
8	не только	11	23
9	т д	3	23
10	по себе	2	20
11	не может	2	19
12	и есть	2	16
13	что все	2	14
14	то что	7	14
15	с точки	8	14
16	может быть	7	13
17	таким образом	3	13
18	и даже	3	13
19	что он	3	13
20	вовсе не	13	13
21	того что	3	12
22	есть и	4	12
23	отнюдь не	4	10
24	в сущности	2	10
25	но и	9	9
26	прежде всего	14	8
27	так что	4	8
28	и как	3	8
29	том что	4	8
30	в этом	22	8
31	что в	5	7
32	никогда не	6	7
33	в особенности	6	7
34	потому что	8	7
35	в виду	3	7
36	как и	8	7
37	вещей и	7	6
38	кроме того	3	6
39	все это	6	6
40	и только	2	6
41	и с	6	6
42	о том	4	6
43	так как	6	6
44	и все	6	6
45	что и	3	6
46	не на	3	6
47	то же	8	6
48	и пр	2	6
49	с этой	4	5
50	в том	10	5
51	но это	2	5
52	хотя и	3	5
53	точка зрения	3	5
54	жизни и	8	5
55	и его	12	5
56	как на	2	5
57	в то	5	5
58	как это	2	5
59	в них	7	5
60	и к	2	5
61	было бы	2	5
62	он не	5	5
63	так и	7	5
64	уже не	3	5
65	только в	11	5
66	с другой	2	4
67	это не	2	4
68	первый план	2	4
69	или иной	2	4
70	к тому	3	4
71	явления и	2	4
72	так же	2	4
73	нет и	3	4
74	на первый	3	4
75	у нас	2	4
76	говорить о	2	4
77	в истории	4	4
78	конечно не	4	4
79	жизнь и	3	4
80	и это	2	4
81	для него	3	4
82	из самых	2	3
83	не было	3	3
84	все же	6	3
85	в своем	5	3
86	в одной	2	3
87	и от	2	3
88	не в	9	3
89	она не	2	3
90	же время	4	3
91	в основе	6	3
92	тем более	3	3
93	в нем	5	3
94	из них	8	3
95	с одной	2	3
96	все эти	5	3
97	должно быть	5	3
98	и на	7	3
99	мир в	4	3
100	с этим	5	3
101	мы уже	9	3
102	тем что	3	3
103	мира и	9	3
104	утверждает что	2	3
105	все что	2	3
106	и о	2	3
107	сами по	2	3
108	как бы	10	3
109	быть и	2	3
110	и прежде	3	3
111	если не	2	3
112	для того	8	3
113	не знает	2	3
114	в частности	5	2
115	из этих	4	2
116	в смысле	5	2
117	и смерть	4	2
118	на этом	2	2
119	еще не	6	2
120	плоти и	2	2
121	при этом	6	2
122	этот ряд	3	2
123	себя и	3	2
124	целый ряд	3	2
125	именно в	2	2
126	и вот	2	2
127	и по	3	2
128	а в	3	2
129	людей и	2	2
130	также и	4	2
131	их в	4	2
132	и потому	2	2
133	но в	10	2
134	у него	9	2
135	перестает быть	2	2
136	на котором	2	2
137	и во	6	2
138	в их	3	2
139	их не	2	2
140	же в	4	2
141	по существу	5	2
142	то в	2	2
143	но не	5	2
144	со всеми	2	2
145	ее в	3	2
146	следовательно и	3	2
147	и они	3	2
148	как мы	6	2
149	и у	5	2
150	пространства и	2	2
151	и он	4	2
152	и для	9	2
153	в данном	2	2
154	во всяком	2	2
155	могут быть	2	2
156	в себе	4	2
157	в его	8	2
