N	2gram	Bakhtin_fo_2	Freidism
1	таким образом	3	24
2	и не	9	23
3	не может	2	20
4	точки зрения	10	19
5	прежде всего	14	18
6	и пр	2	15
7	в этом	22	15
8	в его	8	15
9	с помощью	3	14
10	может быть	7	13
11	и его	12	12
12	как и	8	11
13	как бы	10	11
14	то что	7	11
15	все эти	5	11
16	с точки	8	11
17	и потому	2	10
18	так и	7	10
19	как мы	6	10
20	его в	6	10
21	с ним	4	10
22	но в	10	10
23	и в	46	9
24	во всех	11	9
25	все что	2	8
26	что он	3	8
27	еще не	6	8
28	он не	5	8
29	не только	11	8
30	все это	6	8
31	то же	8	8
32	только в	11	8
33	и все	6	8
34	так как	6	8
35	тот же	3	7
36	во всяком	2	7
37	один из	2	7
38	мы видели	2	7
39	отношение к	3	7
40	те же	6	7
41	и наконец	6	7
42	мы уже	9	7
43	никогда не	6	6
44	вовсе не	13	6
45	для него	3	6
46	того что	3	6
47	так сказать	7	6
48	к смерти	4	6
49	и с	6	6
50	на протяжении	3	6
51	и к	2	5
52	можно сказать	2	5
53	не в	9	5
54	в этой	2	5
55	в то	5	5
56	в большинстве	3	5
57	его жизни	4	5
58	что в	5	5
59	но и	9	5
60	и прежде	3	5
61	в себя	2	5
62	для того	8	5
63	а в	3	5
64	и на	7	5
65	могут быть	2	5
66	с этим	5	5
67	большинстве случаев	3	5
68	но не	5	4
69	в котором	4	4
70	связанных с	3	4
71	и др	5	4
72	в этих	3	4
73	из этих	4	4
74	в пределах	5	4
75	к тому	3	4
76	всех этих	7	4
77	же время	4	4
78	на этом	2	4
79	в последнем	2	4
80	смысле слова	2	4
81	связанные с	5	4
82	при этом	6	4
83	конечно не	4	4
84	и о	2	4
85	в основе	6	4
86	в нем	5	4
87	все же	6	4
88	последнем счете	2	4
89	не было	3	4
90	между ними	2	4
91	уже не	3	4
92	того чтобы	8	4
93	и для	9	4
94	совсем не	2	4
95	в данном	2	4
96	потому что	8	4
97	во время	10	4
98	себя и	3	4
99	говорить о	2	4
100	и есть	2	3
101	в них	7	3
102	и от	2	3
103	к себе	4	3
104	что все	2	3
105	в себе	4	3
106	он был	2	3
107	и смерть	4	3
108	и как	3	3
109	но это	2	3
110	очень важный	2	3
111	по своему	2	3
112	со всеми	2	3
113	она не	2	3
114	было бы	2	3
115	ее в	3	3
116	жизни и	8	3
117	вместе с	9	3
118	не знает	2	3
119	как в	4	3
120	чем не	2	3
121	и вот	2	3
122	и т.п	2	3
123	и по	3	3
124	мы имеем	2	3
125	у него	9	3
126	слова и	3	3
127	не является	3	3
128	человека и	4	3
129	всю эту	2	2
130	есть и	4	2
131	в отношении	2	2
132	уже в	4	2
133	человека в	6	2
134	и становится	2	2
135	и другие	3	2
136	быть и	2	2
137	того же	3	2
138	по всему	3	2
139	с другой	2	2
140	это не	2	2
141	в конце	2	2
142	его рождения	2	2
143	к этому	3	2
144	человек не	2	2
145	же самое	3	2
146	большое значение	2	2
147	до конца	2	2
148	влияние на	2	2
149	в основном	8	2
150	том что	4	2
151	в прошлом	3	2
152	а не	4	2
153	отсюда и	2	2
154	из них	8	2
155	которой он	2	2
156	в своем	5	2
157	в этот	3	2
158	и до	2	2
159	точка зрения	3	2
160	только для	2	2
161	сих пор	2	2
162	все они	3	2
163	в их	3	2
164	отношения к	4	2
165	в совершенно	3	2
166	этом отношении	2	2
167	с одной	2	2
168	и они	3	2
169	в заключение	2	2
170	и у	5	2
171	тем же	2	2
172	и даже	3	2
173	за ними	4	2
174	так же	2	2
175	как на	2	2
176	рядом с	2	2
177	роль в	3	2
178	на основе	3	2
179	мы видим	2	2
180	опирается на	2	2
181	значение для	2	2
182	мир в	4	2
183	здесь в	6	2
184	их в	4	2
185	от этого	2	2
186	вещи и	2	2
187	что и	3	2
188	в другом	3	2
189	жизни но	2	2
190	до сих	2	2
191	и самое	4	2
192	как это	2	2
193	в виду	3	2
