N	2gram	Berdyaev_N_1	formyVre
1	и в	16	50
2	в этом	7	25
3	в нем	5	24
4	прежде всего	4	15
5	и не	11	14
6	по существу	2	12
7	так и	2	12
8	человека и	3	11
9	может быть	7	11
10	времени и	2	10
11	но в	2	10
12	в том	8	9
13	все эти	2	9
14	в то	2	9
15	не только	5	9
16	с его	6	9
17	роль в	2	9
18	но и	3	8
19	и на	2	8
20	жизни в	3	8
21	как и	7	8
22	жизни и	8	8
23	ни в	6	8
24	не было	4	7
25	времени в	2	7
26	это не	4	6
27	с ее	5	6
28	не может	16	6
29	лишь в	6	6
30	так же	2	6
31	у него	2	6
32	с этим	2	6
33	и все	4	6
34	в жизни	5	6
35	во всех	3	6
36	то что	4	6
37	в ее	3	6
38	как в	3	6
39	что в	9	5
40	не в	6	5
41	время как	2	5
42	в основе	3	5
43	но не	2	5
44	еще не	3	5
45	наряду с	3	5
46	он не	8	5
47	того чтобы	2	5
48	могут быть	2	5
49	все это	5	4
50	не имеет	4	4
51	потому что	4	4
52	и с	2	4
53	в ней	5	4
54	в них	4	4
55	конечно не	3	4
56	и т.п	2	4
57	том что	2	4
58	и для	4	4
59	и это	2	4
60	жизни не	3	3
61	большую роль	4	3
62	формы и	2	3
63	к тому	3	3
64	связаны с	2	3
65	с тем	3	3
66	не имеют	2	3
67	xviii века	2	3
68	в новое	3	3
69	хотя и	2	3
70	с одной	2	3
71	а в	2	3
72	сказать что	3	3
73	ни к	2	3
74	не знает	6	3
75	и потому	4	3
76	вместе с	2	3
77	а не	17	3
78	мы не	2	3
79	в себе	2	3
80	место в	2	2
81	совсем не	12	2
82	же как	2	2
83	никогда не	6	2
84	с другой	3	2
85	мир и	2	2
86	что все	2	2
87	вопрос о	3	2
88	нового типа	2	2
89	с их	2	2
90	есть в	2	2
91	смысле слова	3	2
92	одной стороны	2	2
93	но для	2	2
94	к жизни	3	2
95	не к	2	2
96	и даже	2	2
97	к ним	3	2
98	в истории	3	2
99	и к	5	2
100	одна из	2	2
101	равно как	2	2
102	нет и	2	2
103	но она	2	2
104	нем нет	2	2
105	в своей	3	2
106	в центре	2	2
107	уже не	2	2
108	хотя бы	2	2
109	в мировой	2	2
110	можно назвать	2	2
111	жизни которые	3	2
