N	2gram	Propp_Isto_6	Psycholo
1	то что	6	37
2	и в	26	30
3	в том	12	27
4	что в	12	24
5	и что	5	23
6	потому что	13	23
7	том что	10	21
8	все время	2	20
9	таким образом	12	20
10	как бы	4	19
11	что он	9	17
12	на то	2	17
13	не только	10	16
14	в этом	12	14
15	так же	2	13
16	одной стороны	7	12
17	вместе с	8	12
18	с одной	7	12
19	если бы	3	11
20	может быть	11	11
21	как на	3	11
22	что мы	2	11
23	о том	7	10
24	никогда не	13	9
25	с другой	10	9
26	не может	6	9
27	увидим что	2	9
28	и то	3	9
29	сказать что	3	9
30	так как	18	9
31	с тем	4	8
32	что это	2	8
33	мы имеем	14	8
34	к тому	2	8
35	не в	3	8
36	а не	2	8
37	при этом	3	8
38	того что	2	8
39	мы видим	5	8
40	могут быть	3	8
41	и это	8	8
42	в нем	8	7
43	и как	2	7
44	зависимости от	2	7
45	но не	2	7
46	мы можем	7	7
47	все же	8	7
48	и т	10	7
49	то же	5	7
50	совершенно ясно	4	7
51	как это	5	7
52	в своем	2	6
53	что она	3	6
54	как и	5	6
55	и тем	4	6
56	но и	9	6
57	что оно	4	6
58	и не	10	6
59	жизни и	2	6
60	и его	7	6
61	или в	3	6
62	тем что	5	6
63	мы уже	6	6
64	о котором	2	6
65	как будто	3	6
66	когда мы	2	6
67	как мы	4	5
68	в этой	2	5
69	что они	2	5
70	еще не	9	5
71	до сих	4	5
72	было бы	2	5
73	когда он	3	5
74	один из	3	5
75	сих пор	4	5
76	другой стороны	8	5
77	а с	2	5
78	сводится к	2	5
79	именно на	2	5
80	о смерти	9	5
81	в своих	3	5
82	в себе	3	5
83	но в	7	5
84	только в	5	5
85	как только	3	4
86	в частности	3	4
87	от него	3	4
88	прежде всего	4	4
89	стороны и	2	4
90	то это	5	4
91	уже давно	2	4
92	у нас	5	4
93	в своей	3	4
94	от того	3	4
95	в ней	5	4
96	в его	5	4
97	в него	3	4
98	в них	3	4
99	не есть	2	4
100	только что	2	4
101	а в	3	4
102	мы найдем	2	4
103	там где	5	4
104	из которых	3	4
105	о чем	2	4
106	что герой	2	3
107	и другие	3	3
108	первый план	2	3
109	у него	7	3
110	что у	2	3
111	это не	4	3
112	из этих	4	3
113	к этому	3	3
114	вовсе не	2	3
115	вопрос о	3	3
116	показывает что	3	3
117	для нас	2	3
118	так что	3	3
119	эти два	2	3
120	одна из	2	3
121	что здесь	3	3
122	он не	2	3
123	что и	4	3
124	на его	4	3
125	ни в	2	3
126	данном случае	3	3
127	так и	5	3
128	со стороны	3	3
129	что при	2	3
130	как в	6	3
131	так например	3	3
132	так в	6	3
133	и только	3	3
134	т д	8	3
135	и сейчас	2	3
136	героя в	2	3
137	и наконец	3	3
138	целый ряд	2	3
139	мы не	6	3
140	можно было	2	3
141	человека в	2	3
142	но он	2	3
143	и на	12	3
144	в данном	3	3
145	мы должны	2	3
146	в этих	2	3
147	этим он	2	3
148	с этой	2	2
149	перед нами	2	2
150	такое понимание	2	2
151	с его	4	2
152	же как	3	2
153	знаем что	2	2
154	что между	4	2
155	влечет за	2	2
156	в одной	2	2
157	с этим	2	2
158	в одном	3	2
159	что эти	2	2
160	это означает	2	2
161	можно сказать	2	2
162	на первый	3	2
163	мы знаем	2	2
164	этом случае	6	2
165	он был	2	2
166	когда в	2	2
167	но все	2	2
168	предположить что	3	2
169	того же	2	2
170	и под	3	2
171	должна быть	3	2
172	стороны он	3	2
173	нет в	3	2
174	и эта	3	2
175	на том	8	2
176	в качестве	3	2
177	эти три	3	2
178	еще в	3	2
179	его с	3	2
180	но мы	2	2
181	образом и	2	2
182	и до	2	2
183	нам кажется	2	2
184	в форме	2	2
185	отличается от	2	2
186	по отношению	2	2
187	которых он	2	2
188	того как	3	2
189	что когда	2	2
190	мы находим	2	2
191	и вот	3	2
192	и хотя	2	2
193	и другое	2	2
194	и он	4	2
195	время как	3	2
196	ничего не	2	2
197	в которых	2	2
198	и с	6	2
199	говорит он	2	2
200	что касается	2	2
201	что иное	2	2
202	в то	5	2
203	ту же	2	2
204	как он	6	2
205	все эти	8	2
206	из этого	3	2
207	же не	2	2
208	нет ни	2	2
209	смерти в	2	2
