N	2gram	Tiupa_Anal_3	Freidism
1	таким образом	4	24
2	и не	12	23
3	не может	2	20
4	точки зрения	3	19
5	прежде всего	5	18
6	в этом	14	15
7	в его	7	15
8	мы можем	2	13
9	может быть	9	13
10	и его	13	12
11	как и	14	11
12	как бы	10	11
13	то что	2	11
14	все эти	2	11
15	с точки	2	11
16	и потому	2	10
17	так и	14	10
18	самом деле	2	10
19	его в	3	10
20	но в	2	10
21	с его	8	9
22	и в	18	9
23	во всех	2	9
24	по отношению	7	9
25	что он	4	8
26	отношению к	7	8
27	еще не	6	8
28	он не	6	8
29	не только	22	8
30	все это	3	8
31	то же	3	8
32	только в	2	8
33	и все	2	8
34	во всяком	2	7
35	один из	2	7
36	в самом	5	7
37	те же	2	7
38	сказать что	2	7
39	всяком случае	2	7
40	никогда не	5	6
41	и ее	2	6
42	для него	6	6
43	в ней	2	6
44	так сказать	2	6
45	совершенно не	2	6
46	и к	4	5
47	связь с	2	5
48	в свою	5	5
49	можно сказать	4	5
50	не в	6	5
51	в этой	6	5
52	в то	3	5
53	в большинстве	2	5
54	что в	9	5
55	но и	13	5
56	и прежде	2	5
57	в себя	2	5
58	а в	10	5
59	и на	4	5
60	могут быть	2	5
61	с этим	3	5
62	я и	3	5
63	не менее	4	4
64	но не	7	4
65	из этих	3	4
66	в пределах	4	4
67	в жизни	2	4
68	к тому	6	4
69	об этом	2	4
70	сводится к	2	4
71	же время	3	4
72	при этом	11	4
73	как раз	7	4
74	в нем	2	4
75	все же	4	4
76	данном случае	3	4
77	не было	3	4
78	уже не	5	4
79	и для	2	4
80	той же	5	4
81	мы не	3	4
82	с их	3	4
83	в данном	4	4
84	говорить о	3	4
85	о которой	2	3
86	конечном счете	2	3
87	в них	2	3
88	во втором	4	3
89	и от	2	3
90	о себе	2	3
91	на себя	2	3
92	в конечном	2	3
93	в себе	2	3
94	и как	4	3
95	по своему	2	3
96	со всеми	2	3
97	по поводу	3	3
98	было бы	3	3
99	в общем	2	3
100	и той	2	3
101	с ее	3	3
102	себя в	4	3
103	когда он	2	3
104	вместе с	2	3
105	со стороны	9	3
106	приводит к	4	3
107	как в	3	3
108	одной и	2	3
109	и вот	2	3
110	свою очередь	4	3
111	и т.п	5	3
112	и по	2	3
113	мы имеем	5	3
114	в искусстве	2	3
115	одна из	2	3
116	не является	5	3
117	уже в	3	2
118	только не	3	2
119	для всех	2	2
120	того же	5	2
121	с другой	7	2
122	это не	2	2
123	произведение искусства	4	2
124	в конце	5	2
125	к этому	3	2
126	тем не	2	2
127	в ее	3	2
128	да и	2	2
129	это и	2	2
130	том что	12	2
131	в глаза	2	2
132	а не	9	2
133	одной стороны	2	2
134	во сне	3	2
135	что мы	2	2
136	в своем	4	2
137	ответ на	3	2
138	во второй	7	2
139	дело не	3	2
140	все они	2	2
141	что она	2	2
142	в их	6	2
143	в составе	2	2
144	отношения к	2	2
145	этом отношении	3	2
146	с одной	2	2
147	в отличие	2	2
148	и даже	8	2
149	отличие от	2	2
150	роль в	3	2
151	нуждается в	2	2
152	что и	5	2
153	но как	3	2
154	в первом	2	2
155	в глубине	2	2
156	когда мы	2	2
157	как это	3	2
158	в момент	2	2
