N	2gram	Losev_Vlad_2	Komedia
1	и в	30	26
2	и не	18	14
3	едва ли	3	14
4	к тому	2	12
5	так и	5	12
6	и его	6	12
7	в том	18	11
8	может быть	7	11
9	но и	8	10
10	в этом	20	10
11	что в	12	9
12	том что	12	9
13	вместе с	8	9
14	было бы	9	8
15	и на	4	7
16	не только	12	7
17	что и	3	7
18	в своем	8	6
19	то что	20	6
20	наряду с	2	6
21	в нем	4	6
22	в двух	2	6
23	того чтобы	2	6
24	потому что	9	6
25	в то	9	6
26	о том	4	6
27	таким образом	3	6
28	с его	4	5
29	с тем	2	5
30	в которой	4	5
31	к этому	6	5
32	что он	13	5
33	ни в	7	5
34	с этим	5	5
35	для того	2	5
36	так что	5	5
37	и с	14	5
38	уже в	3	4
39	не менее	7	4
40	в частности	2	4
41	у него	19	4
42	больше того	2	4
43	в этих	4	4
44	в них	3	4
45	и от	2	4
46	прежде всего	6	4
47	из этих	3	4
48	о его	5	4
49	как мы	11	4
50	же в	2	4
51	как и	5	4
52	в целом	4	4
53	как будто	2	4
54	хотя и	6	4
55	в его	11	4
56	еще в	2	4
57	все же	9	4
58	в самом	2	4
59	в последние	2	4
60	и для	3	4
61	что для	2	4
62	можно было	2	4
63	точки зрения	7	4
64	с и	2	4
65	в начале	4	4
66	только в	6	4
67	что это	4	4
68	так как	5	4
69	на этот	4	4
70	как это	7	4
71	его в	4	4
72	этот раз	3	4
73	это было	4	4
74	о чем	6	3
75	так или	3	3
76	с этой	4	3
77	после смерти	4	3
78	то время	6	3
79	мы знаем	4	3
80	жизни и	6	3
81	что его	4	3
82	но все	2	3
83	связи с	8	3
84	к концу	5	3
85	но не	3	3
86	того же	5	3
87	во всех	3	3
88	же время	3	3
89	здесь в	2	3
90	для нас	7	3
91	и сам	2	3
92	по поводу	4	3
93	со своей	2	3
94	да и	3	3
95	в ней	4	3
96	отношениях с	2	3
97	в котором	5	3
98	не имеет	2	3
99	и особенно	3	3
100	себя в	2	3
101	в своей	5	3
102	в их	2	3
103	все это	5	3
104	в связи	8	3
105	того как	2	3
106	той же	4	3
107	то же	4	3
108	не было	10	3
109	как в	3	3
110	возможно что	2	3
111	к нему	2	3
112	друг друга	2	3
113	а в	11	3
114	или иначе	3	3
115	не может	9	3
116	как он	2	3
117	что касается	3	3
118	это время	4	3
119	в этой	4	3
120	но в	8	3
121	и есть	2	2
122	однако в	2	2
123	это не	2	2
124	на всякого	2	2
125	в конце	13	2
126	вовсе не	4	2
127	и я	5	2
128	в следующем	3	2
129	то это	4	2
130	и к	6	2
131	с которым	2	2
132	об этом	6	2
133	он был	6	2
134	есть для	2	2
135	не в	9	2
136	из его	2	2
137	философии и	3	2
138	тот же	5	2
139	на этом	2	2
140	по своему	2	2
141	и хотя	2	2
142	после того	2	2
143	в это	4	2
144	и если	4	2
145	наконец в	3	2
146	он не	4	2
147	как бы	5	2
148	не вполне	2	2
149	всяком случае	6	2
150	время как	2	2
151	даже в	2	2
152	говоря уже	2	2
153	хотя бы	3	2
154	и это	3	2
155	отношение к	4	2
156	сказать о	3	2
157	не говоря	3	2
158	со стороны	4	2
159	уже о	2	2
160	в отличие	3	2
161	видно из	2	2
162	если не	2	2
163	в течение	5	2
164	три года	2	2
165	еще более	3	2
166	бог и	2	2
167	мы находим	2	2
168	в той	2	2
169	и что	5	2
170	этого времени	3	2
171	также что	2	2
172	отличие от	3	2
173	мы не	2	2
174	тут же	2	2
175	во всяком	6	2
176	и во	2	2
177	под названием	3	2
178	к его	2	2
179	этому времени	2	2
180	и все	7	2
181	к середине	2	2
182	из этого	5	2
183	с которыми	4	2
184	вообще говоря	2	2
185	в виду	2	2
