N	2gram	Bakhtin_Fr_1	KFilosof
1	может быть	6	43
2	в его	9	39
3	в нем	13	31
4	не может	3	27
5	и не	22	26
6	и в	65	22
7	в себе	3	21
8	в ее	3	17
9	и его	10	17
10	только в	7	16
11	точки зрения	7	13
12	в этом	15	13
13	для него	5	12
14	но не	2	12
15	и это	2	12
16	все эти	10	11
17	в своей	5	11
18	не в	4	11
19	к нему	3	11
20	в своем	8	10
21	это не	3	10
22	все это	9	10
23	во всех	9	10
24	с точки	3	10
25	в целом	2	9
26	но и	10	9
27	в их	4	9
28	как бы	22	9
29	и все	5	9
30	и для	2	9
31	мир в	3	8
32	жизни и	7	8
33	и здесь	3	7
34	во всем	2	7
35	вовсе не	18	7
36	то что	3	7
37	в себя	3	7
38	быть только	2	7
39	в том	16	6
40	но это	3	6
41	отношение к	4	6
42	совершенно не	4	6
43	и их	3	6
44	он не	2	6
45	уже не	3	6
46	менее всего	3	6
47	мира в	3	6
48	никогда не	6	5
49	но эта	2	5
50	но все	3	5
51	в основе	8	5
52	но как	3	5
53	его в	7	5
54	с ним	3	5
55	но в	14	5
56	не знает	6	5
57	жизни в	5	5
58	как и	5	5
59	не только	10	5
60	все же	6	5
61	жизни как	3	5
62	времени и	6	4
63	что в	3	4
64	входит в	4	4
65	для нас	4	4
66	при этом	6	4
67	в своих	5	4
68	между тем	5	4
69	бы быть	2	4
70	в одном	5	4
71	мира и	4	4
72	том что	6	4
73	о нем	3	4
74	во всей	3	4
75	в чем	2	4
76	до конца	2	3
77	и пр	5	3
78	в виду	3	3
79	от того	2	3
80	того что	2	3
81	рядом с	5	3
82	и на	11	3
83	в ней	6	3
84	о том	2	3
85	и ни	3	3
86	всех этих	8	3
87	от него	2	3
88	по своему	8	3
89	еще не	6	3
90	нет и	2	3
91	на самом	6	3
92	культуры и	8	3
93	самом деле	3	3
94	что не	2	3
95	могут быть	2	3
96	и этим	2	3
97	ничего не	3	3
98	это уже	4	2
99	прежде всего	11	2
100	его к	2	2
101	или иной	5	2
102	основе своей	2	2
103	и само	2	2
104	это целое	2	2
105	но для	3	2
106	вся эта	3	2
107	знает и	2	2
108	и других	3	2
109	потому что	5	2
110	он и	3	2
111	к себе	2	2
112	той или	5	2
113	весь мир	3	2
114	ни к	2	2
115	с его	5	2
116	раз и	2	2
117	в жизни	4	2
118	что он	3	2
119	конечно в	2	2
120	жить и	3	2
121	всех его	2	2
122	в это	2	2
123	и потому	10	2
124	жизни но	2	2
125	и именно	2	2
126	в процессе	2	2
127	так и	10	2
128	как в	5	2
129	еще более	5	2
130	мы здесь	2	2
131	и эта	3	2
132	это можно	2	2
133	этот мир	2	2
134	в этой	4	2
135	его на	2	2
136	дело в	2	2
137	в области	7	2
