N	2gram	Berdyaev_N_1	Problemy
1	и в	16	34
2	и не	11	29
3	может быть	7	19
4	в нем	5	19
5	не может	16	19
6	и все	4	19
7	как и	7	18
8	но в	2	16
9	все это	5	16
10	в этом	7	16
11	и с	2	15
12	прежде всего	4	15
13	он не	8	15
14	но и	3	12
15	и к	5	12
16	потому что	4	12
17	в то	2	12
18	то что	4	11
19	не только	5	10
20	не в	6	9
21	а не	17	9
22	никогда не	6	8
23	так же	2	8
24	и для	4	8
25	я не	2	7
26	что в	9	7
27	и даже	2	7
28	как будто	2	7
29	стремится к	3	6
30	не знает	6	6
31	и на	2	6
32	с его	6	6
33	так и	2	6
34	в себе	2	6
35	все время	2	5
36	это не	4	5
37	и от	2	5
38	к тому	3	5
39	и что	2	5
40	лишь в	6	5
41	а в	2	5
42	с тем	3	5
43	на протяжении	2	5
44	хотя бы	2	5
45	с другой	3	4
46	что все	2	4
47	ни в	6	4
48	но это	6	4
49	у него	2	4
50	все эти	2	4
51	этом смысле	2	4
52	но не	2	4
53	еще не	3	4
54	как в	3	4
55	в мире	3	4
56	и это	2	4
57	вместе с	2	4
58	не менее	4	3
59	для этого	2	3
60	в том	8	3
61	такой же	2	3
62	совсем не	12	3
63	но для	2	3
64	хотя и	2	3
65	с ее	5	3
66	жизни и	8	3
67	другой стороны	2	3
68	должно быть	4	3
69	в ней	5	3
70	ведь и	2	3
71	в высшей	6	3
72	в ее	3	3
73	том что	2	3
74	по своему	4	3
75	нет и	2	3
76	в своей	3	3
77	высшей степени	6	3
78	это было	3	3
79	не было	4	2
80	не знал	2	2
81	я уже	2	2
82	вопрос о	3	2
83	что такое	3	2
84	с этим	2	2
85	о том	4	2
86	сказать что	3	2
87	и должно	2	2
88	в них	4	2
89	в жизни	5	2
90	это и	2	2
91	но я	2	2
92	ли это	2	2
93	конечно не	3	2
94	за пределы	3	2
95	во всех	3	2
96	и потому	4	2
97	уже не	2	2
98	тому как	3	2
99	подобно тому	3	2
100	еще до	2	2
