N	2gram	Propp_Isto_5	SlovoVZh
1	не может	6	16
2	точки зрения	2	14
3	может быть	17	14
4	и его	9	13
5	как бы	2	13
6	таким образом	9	12
7	и в	25	12
8	отношению к	2	11
9	по отношению	2	11
10	и не	11	10
11	если бы	2	9
12	так как	11	9
13	прежде всего	6	8
14	для нас	5	7
15	сказать что	2	7
16	в нем	7	6
17	в том	6	6
18	только в	7	6
19	в ней	5	6
20	и др	3	5
21	то что	7	5
22	никогда не	3	5
23	а не	2	5
24	можно сказать	2	5
25	то же	4	5
26	как и	7	5
27	том что	8	5
28	как в	6	5
29	что мы	2	5
30	героя и	3	5
31	все же	10	4
32	жизни и	2	4
33	с другой	9	4
34	уже не	11	4
35	не в	6	4
36	в этом	10	4
37	и на	8	4
38	его в	9	4
39	к нему	3	4
40	не только	13	4
41	не менее	4	3
42	когда он	2	3
43	в своей	2	3
44	в некоторых	4	3
45	бы мы	2	3
46	сих пор	2	3
47	все это	4	3
48	ее и	3	3
49	и по	2	3
50	и вообще	3	3
51	все эти	8	3
52	ясно что	5	3
53	по себе	2	3
54	но и	13	3
55	и пр	3	3
56	того что	2	3
57	и герой	2	3
58	тем не	4	3
59	так же	5	3
60	самом деле	2	3
61	мы не	5	3
62	формы и	2	3
63	и с	3	3
64	о том	7	3
65	до сих	2	3
66	в пределах	4	3
67	еще не	8	3
68	и для	2	3
69	с ним	4	3
70	но для	2	3
71	уже в	2	2
72	с этой	2	2
73	но мы	3	2
74	что и	6	2
75	но все	5	2
76	что в	8	2
77	данном случае	2	2
78	вместе с	22	2
79	в этих	6	2
80	на него	8	2
81	в форме	3	2
82	социальной жизни	2	2
83	другой стороны	8	2
84	это не	6	2
85	мы имеем	14	2
86	и все	3	2
87	в особенности	3	2
88	тогда когда	2	2
89	с одной	7	2
90	к этому	2	2
91	связь с	8	2
92	находит в	2	2
93	в себя	3	2
94	его к	3	2
95	и что	8	2
96	и здесь	7	2
97	с другими	4	2
98	но это	7	2
99	такой же	2	2
100	в данном	3	2
101	мы можем	2	2
102	но не	5	2
103	могут быть	6	2
104	в формах	2	2
105	она не	2	2
106	в то	3	2
107	одной стороны	7	2
108	можно найти	2	2
109	там где	6	2
110	ничего не	2	2
111	к его	2	2
112	он не	4	2
113	в основном	4	2
114	в его	12	2
115	и потому	2	2
116	из него	2	2
