N	2gram	Tiupa_Vved_1	formyVre
1	и в	13	46
2	в этом	21	22
3	прежде всего	7	14
4	в романе	6	13
5	и его	5	12
6	только в	6	11
7	не только	20	11
8	во всех	2	11
9	в том	10	10
10	как бы	4	10
11	то есть	8	10
12	но в	6	10
13	не в	6	9
14	мира и	2	9
15	но и	19	9
16	и не	12	9
17	и для	3	9
18	как и	11	8
19	в его	4	8
20	жизни и	7	8
21	то же	5	8
22	потому что	5	8
23	в них	2	7
24	может быть	18	7
25	то что	6	7
26	так и	8	7
27	времени в	3	7
28	и на	3	7
29	картину мира	3	7
30	так сказать	2	7
31	никогда не	4	6
32	и времени	2	6
33	и все	4	6
34	при этом	26	6
35	как мы	3	6
36	еще не	7	6
37	все же	6	6
38	те же	2	6
39	и наконец	2	6
40	в основе	3	6
41	и с	2	6
42	в частности	13	5
43	в своем	5	5
44	в пределах	2	5
45	в то	4	5
46	но не	5	5
47	он не	3	5
48	в нем	5	5
49	что в	3	5
50	место в	2	4
51	отнюдь не	7	4
52	жизни в	4	4
53	из этих	3	4
54	же время	3	4
55	с ним	3	4
56	том что	7	4
57	в ряду	2	4
58	в котором	8	4
59	в мире	8	4
60	как в	4	4
61	человеческой жизни	3	4
62	а не	15	4
63	также и	4	4
64	их в	2	4
65	в себе	5	4
66	о том	5	4
67	не было	2	3
68	о чем	2	3
69	все они	2	3
70	не является	3	3
71	к этому	2	3
72	к тому	6	3
73	в качестве	8	3
74	для него	3	3
75	том как	3	3
76	имеет место	4	3
77	хотя и	7	3
78	а также	8	3
79	что на	2	3
80	в этот	2	3
81	точка зрения	3	3
82	что и	2	3
83	отношение к	2	3
84	во времени	2	3
85	целый ряд	2	3
86	таким образом	4	3
87	уже не	5	3
88	того что	6	3
89	и по	3	3
90	а в	6	3
91	тем что	2	3
92	в этих	3	3
93	хронотопа в	2	3
94	мира в	8	3
95	этом ряду	2	2
96	и более	3	2
97	по своему	2	2
98	говорить о	2	2
99	с другой	5	2
100	это не	6	2
101	в одной	2	2
102	по себе	2	2
103	или иной	3	2
104	можно сказать	4	2
105	картина мира	12	2
106	как его	2	2
107	а на	2	2
108	все что	3	2
109	до конца	3	2
110	было бы	4	2
111	картины мира	5	2
112	и к	2	2
113	в аспекте	2	2
114	картине мира	4	2
115	наряду с	2	2
116	к ним	2	2
117	если в	2	2
118	один из	3	2
119	мы видели	2	2
120	строго говоря	2	2
121	принадлежит к	3	2
122	быть и	2	2
123	и т.п	9	2
124	не может	7	2
125	здесь не	2	2
126	за обедом	2	2
127	этом отношении	4	2
128	с одной	5	2
129	в той	4	2
130	лишь в	2	2
131	в данном	13	2
132	но это	3	2
133	и от	2	2
134	мы имеем	5	2
135	могут быть	4	2
136	в литературе	2	2
137	далеко не	4	2
138	как он	2	2
