N	2gram	Voloshinov_1	Otkroven
1	у него	3	22
2	и в	15	19
3	но и	4	13
4	и не	16	13
5	в этом	13	12
6	а не	2	11
7	не в	4	11
8	человека в	3	11
9	может быть	13	11
10	не только	5	11
11	человека и	6	10
12	и все	4	10
13	в нем	4	10
14	никогда не	7	9
15	не было	4	9
16	в человеке	5	9
17	потому что	4	9
18	прежде всего	11	9
19	он был	3	8
20	человек не	2	7
21	до конца	5	7
22	в глубине	2	7
23	он не	4	7
24	в его	9	7
25	все это	5	6
26	как и	6	6
27	то что	10	5
28	а в	6	5
29	отношение к	7	5
30	в том	4	5
31	для него	5	5
32	в этой	5	5
33	в самом	6	5
34	с его	8	4
35	он сам	4	4
36	того чтобы	2	4
37	и его	15	4
38	все эти	9	4
39	не может	13	4
40	что в	6	4
41	к нему	7	3
42	не могут	3	3
43	в этих	2	3
44	и есть	2	3
45	влечет к	2	3
46	мысли и	4	3
47	это не	2	3
48	и вот	6	3
49	что он	8	3
50	того что	2	3
51	хотя бы	7	3
52	в своих	4	3
53	еще не	7	3
54	могут быть	6	3
55	все что	9	3
56	и ее	3	3
57	в себе	4	3
58	было бы	6	3
59	с ним	12	3
60	как бы	11	3
61	в этот	4	2
62	все же	5	2
63	что и	2	2
64	ее в	2	2
65	в душе	13	2
66	и для	2	2
67	в истории	3	2
68	так и	10	2
69	жизни в	3	2
70	в своем	2	2
71	что же	4	2
72	человека все	2	2
73	что все	5	2
74	к этому	7	2
75	по себе	2	2
76	и к	7	2
77	и очень	2	2
78	о которой	2	2
79	должно быть	2	2
80	в ее	4	2
81	том что	5	2
82	и на	3	2
83	и то	2	2
84	сказать что	6	2
85	и с	7	2
86	человека к	2	2
87	учение о	2	2
88	совсем не	5	2
89	одно из	3	2
90	его в	8	2
91	в своей	9	2
92	так как	9	2
93	и этим	3	2
94	и о	3	2
95	ничего не	2	2
96	к ней	2	2
97	но в	9	2
98	и потому	8	2
