N	2gram	Tiupa_Disk_2	Dialekti
1	и не	15	30
2	может быть	16	20
3	и в	16	19
4	не только	10	19
5	а не	14	16
6	в себе	19	15
7	то что	5	14
8	в том	8	14
9	как бы	4	14
10	потому что	4	14
11	но и	11	12
12	то же	6	12
13	точки зрения	4	12
14	и все	3	12
15	ни в	7	10
16	как и	16	10
17	и как	3	10
18	в нем	7	10
19	так и	9	10
20	том что	10	10
21	это не	3	10
22	времени и	2	9
23	никогда не	2	9
24	не может	9	9
25	личности в	2	8
26	прежде всего	7	8
27	с точки	2	8
28	не в	3	8
29	в этом	16	8
30	в своей	6	8
31	но это	3	7
32	что в	5	7
33	должно быть	2	7
34	и то	4	7
35	как будто	3	7
36	что он	2	6
37	отнюдь не	6	6
38	в то	5	6
39	но не	7	6
40	и может	3	6
41	жизни и	3	6
42	должна быть	2	5
43	с другой	5	5
44	же время	5	5
45	можно сказать	3	5
46	что и	2	5
47	и это	2	5
48	и его	3	5
49	говорить о	2	5
50	только в	3	5
51	о том	4	5
52	и с	2	5
53	содержит в	2	4
54	а потом	2	4
55	в своем	5	4
56	в одном	4	4
57	все же	6	4
58	при этом	17	4
59	одно и	2	4
60	еще не	6	4
61	той или	3	4
62	он не	3	4
63	все это	2	4
64	другой стороны	2	4
65	тут же	2	4
66	а в	2	4
67	одно из	4	4
68	могут быть	3	4
69	в другом	3	4
70	по своей	6	4
71	не менее	7	3
72	же как	2	3
73	о чем	2	3
74	в этих	3	3
75	уже не	3	3
76	в этой	4	3
77	неотделим от	2	3
78	из них	3	3
79	не было	3	3
80	мы имеем	2	3
81	становления и	3	3
82	в той	2	3
83	в данном	7	3
84	может иметь	2	3
85	его в	3	3
86	что же	2	2
87	в противоположность	5	2
88	в частности	12	2
89	перед нами	3	2
90	у пушкина	2	2
91	момент в	2	2
92	именно в	2	2
93	что на	2	2
94	это еще	2	2
95	и прежде	2	2
96	в ней	2	2
97	себя в	6	2
98	в мире	11	2
99	данном случае	6	2
100	может и	2	2
101	не на	2	2
102	например в	3	2
103	с ее	2	2
104	с одной	4	2
105	как в	8	2
106	в становлении	3	2
107	того и	2	2
108	человеческой жизни	2	2
109	времени в	4	2
110	в своих	6	2
111	также и	3	2
112	в результате	2	2
113	их в	2	2
114	между тем	2	2
115	реальности и	2	2
116	или по	2	2
117	все эти	3	2
118	есть в	2	2
119	в области	2	2
120	но в	11	2
121	я и	4	2
122	мире и	3	2
123	вместе с	2	2
