N	2gram	Medvedev_U_1	Psycholo
1	то что	7	37
2	и в	14	30
3	в том	2	27
4	том что	2	21
5	таким образом	2	20
6	что он	2	17
7	не только	10	16
8	в самом	2	14
9	в этом	7	14
10	как раз	2	13
11	если бы	2	11
12	может быть	6	11
13	что мы	2	11
14	с другой	4	9
15	для этого	3	9
16	не может	7	9
17	и то	3	9
18	не в	2	8
19	а не	10	8
20	самом деле	2	8
21	могут быть	2	8
22	по себе	2	7
23	но не	2	7
24	все же	3	7
25	то же	5	7
26	что она	2	6
27	как и	3	6
28	в искусстве	6	6
29	и для	2	6
30	но и	4	6
31	что все	2	6
32	и не	8	6
33	тем что	2	6
34	в этой	4	5
35	до сих	2	5
36	было бы	3	5
37	сих пор	2	5
38	художественное произведение	5	5
39	другой стороны	3	5
40	сводится к	2	5
41	в себе	2	5
42	но в	3	5
43	только в	2	5
44	же самое	2	5
45	материала и	2	5
46	в частности	3	4
47	прежде всего	8	4
48	у нас	3	4
49	в своей	3	4
50	в его	2	4
51	искусства как	2	4
52	не есть	2	4
53	могли бы	2	4
54	в конце	2	4
55	о чем	2	4
56	художественной формы	2	3
57	не могут	2	3
58	думается что	2	3
59	при таком	2	3
60	хотя бы	5	3
61	это не	3	3
62	формы и	2	3
63	не как	3	3
64	художественного произведения	2	3
65	для него	3	3
66	что и	2	3
67	в их	4	3
68	и только	5	3
69	этом отношении	2	3
70	мы не	2	3
71	с его	2	2
72	этом смысле	2	2
73	а как	2	2
74	на первый	2	2
75	материал для	2	2
76	художественном произведении	2	2
77	по существу	2	2
78	очевидно что	3	2
79	должна быть	2	2
80	все это	5	2
81	ничего не	2	2
82	и с	2	2
83	является в	2	2
84	даже и	2	2
85	в то	3	2
86	вопроса о	2	2
87	произведения искусства	3	2
88	конце концов	2	2
89	же не	2	2
