N	2gram	Bakhtin_Pr_3	Istorich
1	что он	4	24
2	не только	4	18
3	может быть	12	17
4	никогда не	2	15
5	и в	53	15
6	но и	7	14
7	так как	7	14
8	что в	2	12
9	а в	2	12
10	то что	9	12
11	в этих	5	11
12	и не	15	11
13	в этом	8	11
14	его в	2	10
15	то же	6	10
16	еще не	5	9
17	потому что	5	9
18	один из	6	8
19	он не	3	8
20	мы видим	2	8
21	мы можем	5	8
22	том что	5	7
23	в обряде	2	7
24	в нем	10	7
25	вместе с	2	7
26	сих пор	5	7
27	таким образом	6	7
28	смерти и	4	7
29	не в	2	7
30	ничего не	6	7
31	связана с	2	6
32	до сих	5	6
33	мы уже	5	6
34	что это	2	6
35	наряду с	5	6
36	в его	8	6
37	как бы	14	6
38	что и	3	6
39	мы здесь	3	6
40	в том	14	6
41	только в	4	6
42	но в	5	6
43	с этим	2	5
44	прежде всего	15	5
45	как в	7	5
46	было бы	5	5
47	так и	6	5
48	не может	2	5
49	в связи	2	5
50	а не	11	5
51	и наконец	2	5
52	представления о	2	5
53	и другие	9	4
54	и др	14	4
55	но они	4	4
56	но это	3	4
57	в одной	2	4
58	при этом	3	4
59	одной из	4	4
60	или на	2	4
61	но он	2	4
62	в ней	7	4
63	не будем	3	4
64	связь с	2	4
65	и они	2	4
66	они не	3	4
67	и с	6	4
68	тем что	2	4
69	и на	18	4
70	в себе	5	4
71	мы должны	4	4
72	все эти	9	4
73	видели что	2	3
74	в античности	4	3
75	и его	10	3
76	уже на	2	3
77	как это	2	3
78	о том	2	3
79	в их	2	3
80	все это	8	3
81	по отношению	2	3
82	в себя	6	3
83	мы не	4	3
84	он в	2	3
85	как будто	2	3
86	как он	2	3
87	и это	3	3
88	здесь мы	2	3
89	уже в	2	2
90	я не	4	2
91	не было	4	2
92	самого начала	4	2
93	и более	2	2
94	могут быть	4	2
95	смысле этого	2	2
96	себя и	2	2
97	перед нами	5	2
98	с другой	2	2
99	это не	6	2
100	и так	3	2
101	он знал	2	2
102	в жизни	8	2
103	к себе	6	2
104	все еще	3	2
105	главным образом	3	2
106	не знает	4	2
107	да и	2	2
108	а затем	4	2
109	именно в	2	2
110	по существу	5	2
111	как и	11	2
112	мы видели	2	2
113	не знают	2	2
114	одна из	7	2
115	но не	5	2
116	есть и	2	2
117	здесь в	10	2
118	кроме того	3	2
119	и если	3	2
120	и из	3	2
121	например в	5	2
122	на его	3	2
123	и для	4	2
124	в сущности	10	2
125	здесь на	2	2
126	а также	4	2
127	и пусть	2	2
128	хотя бы	2	2
129	ее в	3	2
130	из них	4	2
131	во всех	12	2
132	и их	2	2
133	в некоторых	4	2
134	за него	2	2
135	той же	5	2
136	в разных	4	2
137	живет в	2	2
138	с самого	3	2
139	человека в	3	2
140	не боится	2	2
141	и по	3	2
142	с другими	3	2
143	сказать что	10	2
144	и ее	6	2
145	нет ничего	2	2
146	здесь не	4	2
147	так сказать	5	2
148	в особенности	2	2
149	их в	2	2
150	в которой	2	2
151	в эту	3	2
152	тому же	2	2
