N	2gram	Medvedev_V_1	formyVre
1	и в	26	50
2	в романе	4	32
3	в этом	26	25
4	в нем	6	24
5	человека в	2	17
6	и его	6	16
7	прежде всего	13	15
8	и не	19	14
9	вовсе не	3	13
10	как раз	3	13
11	в его	14	13
12	по существу	3	12
13	так и	5	12
14	человека и	3	11
15	может быть	22	11
16	таким образом	31	11
17	то же	10	11
18	и как	3	10
19	но в	2	10
20	в конце	3	9
21	в том	15	9
22	же время	5	9
23	и др	9	9
24	в особенности	2	9
25	все эти	6	9
26	в то	6	9
27	не только	25	9
28	с его	3	9
29	роль в	4	9
30	в самом	4	8
31	и т	23	8
32	и их	3	8
33	но и	10	8
34	как и	7	8
35	жизни и	3	8
36	т п	9	8
37	не было	7	7
38	так сказать	2	7
39	все же	5	6
40	в частности	11	6
41	это не	7	6
42	например в	3	6
43	в их	5	6
44	не может	17	6
45	лишь в	2	6
46	так же	3	6
47	в результате	5	6
48	у него	6	6
49	с этим	3	6
50	в жизни	2	6
51	связи с	4	6
52	во всех	6	6
53	то что	6	6
54	в ее	4	6
55	что в	10	5
56	в образе	2	5
57	не в	6	5
58	в пределах	5	5
59	этот процесс	2	5
60	до нас	2	5
61	в связи	3	5
62	точки зрения	3	5
63	всех этих	2	5
64	если бы	3	5
65	отнюдь не	3	5
66	но не	2	5
67	еще не	2	5
68	он не	2	5
69	в основном	5	5
70	отношению к	7	5
71	того чтобы	3	5
72	для того	3	5
73	и у	2	5
74	этого типа	3	5
75	могут быть	5	5
76	том числе	2	4
77	в своем	8	4
78	в котором	3	4
79	все это	10	4
80	в ней	2	4
81	в них	4	4
82	в процессе	16	4
83	том что	8	4
84	и для	2	4
85	только в	7	4
86	например у	2	3
87	не могут	7	3
88	формы и	2	3
89	к тому	4	3
90	с тем	3	3
91	себе и	2	3
92	хотя и	2	3
93	в виду	4	3
94	один из	5	3
95	в форме	3	3
96	по отношению	7	3
97	этом отношении	13	3
98	с одной	2	3
99	именно в	2	3
100	они не	2	3
101	а в	3	3
102	их в	6	3
103	сказать что	5	3
104	его в	3	3
105	в одном	4	3
106	в порядке	5	3
107	а как	2	3
108	к этому	9	3
109	же в	6	3
110	в качестве	11	3
111	и потому	2	3
112	что и	3	3
113	вместе с	7	3
114	во всей	2	3
115	а не	7	3
116	что не	3	3
117	между ними	3	3
118	искусстве и	2	3
119	или в	3	3
120	с другими	2	3
121	и ее	4	3
122	в себе	6	3
123	все его	2	3
124	же как	2	2
125	никогда не	4	2
126	в течение	2	2
127	с другой	11	2
128	что все	3	2
129	или иной	2	2
130	его от	2	2
131	числе и	2	2
132	смысле слова	2	2
133	момент в	3	2
134	для него	8	2
135	одной стороны	2	2
136	но для	2	2
137	не о	2	2
138	явления в	2	2
139	в целом	4	2
140	еще и	2	2
141	на основе	5	2
142	того что	3	2
143	и даже	2	2
144	и по	3	2
145	в которых	3	2
146	также и	2	2
147	точном смысле	2	2
148	же и	2	2
149	их и	4	2
150	что мы	2	2
151	как он	2	2
152	вне его	2	2
153	от различных	2	2
154	не является	5	2
155	тогда когда	2	2
156	по себе	2	2
157	стороны и	2	2
158	в различных	2	2
159	и к	3	2
160	об этом	9	2
161	в другую	2	2
162	не столь	3	2
163	в чем	2	2
164	сюжета и	2	2
165	одна из	4	2
166	равно как	4	2
167	и может	2	2
168	было бы	7	2
169	том же	6	2
170	нет и	3	2
171	в своей	4	2
172	как бы	5	2
173	ее в	4	2
174	даже не	2	2
175	в точном	2	2
176	этой проблемы	3	2
177	в значительной	3	2
178	хотя бы	19	2
179	в которой	2	2
180	у них	2	2
181	ту же	2	2
182	далеко не	2	2
183	др в	3	2
