N	3gram	Medvedev_V_1	Vvedenie
1	и т д	14	36
2	для того чтобы	3	20
3	о том что	3	12
4	в том что	5	12
5	не может быть	8	8
6	то же время	5	6
7	в то же	5	6
8	и т п	9	5
9	с другой стороны	8	5
10	в том чтобы	2	5
11	т е в	2	4
12	по крайней мере	2	4
13	не только в	2	4
14	с одной стороны	2	4
15	можно было бы	2	4
16	в этом отношении	13	4
17	по отношению к	7	4
18	в конечном итоге	2	3
19	одной стороны и	2	3
20	можно сказать что	4	3
21	также и в	2	3
22	большей или меньшей	3	3
23	том отношении что	2	3
24	в том отношении	2	3
25	вместе с тем	3	3
26	в конце концов	2	2
27	в другом месте	2	2
28	по этому поводу	7	2
29	не в том	2	2
30	в значительной мере	3	2
31	не могут не	2	2
32	хотя бы и	5	2
33	как об этом	2	2
34	в связи с	3	2
35	в чем же	2	2
36	подобно тому как	2	2
37	таким образом по	2	2
