N	2gram	Berdyaev_N_1	Analitik
1	в этом	7	18
2	и в	16	16
3	не только	5	16
4	так и	2	15
5	как и	7	14
6	в том	8	12
7	но и	3	12
8	и не	11	12
9	том что	2	12
10	могут быть	2	10
11	а не	17	10
12	на уровне	2	9
13	лишь в	6	9
14	и даже	2	9
15	и т.п	2	8
16	к тому	3	7
17	в себе	2	7
18	то что	4	7
19	о том	4	7
20	с другой	3	6
21	в мире	3	6
22	и на	2	6
23	может быть	7	6
24	как это	2	6
25	но в	2	6
26	и к	5	5
27	с одной	2	5
28	не менее	4	4
29	у него	2	4
30	уже не	2	4
31	не в	6	4
32	за пределы	3	4
33	но не	2	4
34	одной стороны	2	4
35	времени в	2	4
36	во всех	3	4
37	как в	3	4
38	все это	5	4
39	не может	16	4
40	хотя и	2	4
41	нашего времени	2	4
42	место в	2	3
43	никогда не	6	3
44	прежде всего	4	3
45	есть в	2	3
46	в центре	2	3
47	не знает	6	3
48	можно было	2	3
49	а в	2	3
50	тому как	3	3
51	подобно тому	3	3
52	как будто	2	3
53	и все	4	3
54	личность в	2	2
55	что все	2	2
56	этом смысле	2	2
57	в одну	2	2
58	по существу	2	2
59	что в	9	2
60	с их	2	2
61	она не	3	2
62	еще не	3	2
63	ведь и	2	2
64	такого рода	2	2
65	в своей	3	2
66	это было	3	2
67	не есть	3	2
68	с ее	5	2
69	себя в	2	2
70	вместе с	2	2
71	что она	2	2
72	другой стороны	2	2
73	не имеет	4	2
74	и для	4	2
75	так же	2	2
76	роль в	2	2
77	он не	8	2
78	на протяжении	2	2
79	в то	2	2
80	сказать что	3	2
