N	2gram	Kanaev_Sov_1	formyVre
1	и в	7	46
2	в этом	7	22
3	прежде всего	5	14
4	не только	4	11
5	в том	4	10
6	как бы	4	10
7	точки зрения	12	10
8	но в	3	10
9	у него	2	9
10	не в	3	9
11	вместе с	4	9
12	и не	6	9
13	как и	6	8
14	в его	2	8
15	жизни и	4	8
16	то же	3	8
17	с точки	5	8
18	из них	4	8
19	в одном	3	7
20	может быть	12	7
21	так сказать	2	7
22	и во	2	6
23	и все	3	6
24	при этом	3	6
25	как мы	2	6
26	еще не	3	6
27	все же	3	6
28	все это	3	6
29	и наконец	5	6
30	так как	4	6
31	с этим	2	5
32	в дальнейшем	4	5
33	в нем	3	5
34	что в	2	5
35	все эти	5	5
36	уже в	3	4
37	отнюдь не	3	4
38	из этих	2	4
39	с другом	2	4
40	друг с	2	4
41	еще более	2	4
42	а не	3	4
43	их в	4	4
44	в себе	3	4
45	с помощью	4	3
46	тот же	2	3
47	нет и	4	3
48	таким образом	11	3
49	и они	2	3
50	уже не	2	3
51	и даже	2	3
52	и по	2	3
53	а в	4	3
54	роль в	2	3
55	же самое	2	3
56	на этом	2	2
57	и есть	2	2
58	говорить о	2	2
59	на котором	2	2
60	это не	4	2
61	что все	2	2
62	или иной	2	2
63	у нас	3	2
64	мы видим	2	2
65	в этой	3	2
66	а на	2	2
67	и пр	2	2
68	было бы	3	2
69	со всеми	2	2
70	и к	3	2
71	и потому	3	2
72	только один	2	2
73	мы видели	4	2
74	в некоторых	2	2
75	быть и	2	2
76	не может	17	2
77	с одной	2	2
78	у всех	3	2
79	тем же	2	2
80	форма в	2	2
81	могут быть	2	2
82	которой он	2	2
83	в конце	3	2
84	как он	3	2
85	во всяком	2	2
