N	2gram	Propp_Isto_7	Tragedij
1	и в	24	18
2	в этом	12	9
3	не только	21	8
4	и не	4	7
5	и на	2	7
6	может быть	14	7
7	как бы	4	7
8	в образе	3	6
9	что он	21	6
10	и его	3	6
11	у него	10	6
12	но в	5	6
13	все же	9	5
14	что это	6	5
15	так и	5	5
16	это не	10	5
17	не может	14	5
18	то же	8	5
19	в дальнейшем	3	5
20	как и	6	5
21	в то	2	5
22	но и	11	4
23	то что	7	4
24	что в	13	4
25	все это	8	4
26	прежде всего	2	4
27	и все	6	4
28	в нем	6	4
29	и даже	3	4
30	так же	6	4
31	том что	10	4
32	но это	3	4
33	и что	10	4
34	еще не	8	4
35	об этом	6	4
36	что вы	2	3
37	уже в	3	3
38	один из	7	3
39	в конце	3	3
40	что за	3	3
41	как в	12	3
42	все эти	2	3
43	и он	3	3
44	к нему	7	3
45	в основном	2	3
46	при этом	4	3
47	своего отца	4	3
48	своего рода	4	3
49	как это	2	3
50	с ним	5	3
51	из самых	2	2
52	не имеет	4	2
53	перед нами	2	2
54	не могут	2	2
55	но они	3	2
56	что и	8	2
57	данном случае	3	2
58	то и	4	2
59	ее за	3	2
60	но при	2	2
61	вопрос о	3	2
62	не просто	2	2
63	но эта	2	2
64	уже не	2	2
65	с его	3	2
66	вместе со	2	2
67	отношение к	5	2
68	не так	2	2
69	и здесь	12	2
70	ни в	2	2
71	в ее	2	2
72	в том	7	2
73	друг друга	2	2
74	говорит о	2	2
75	но все	4	2
76	так что	3	2
77	не в	9	2
78	что этот	2	2
79	точно так	2	2
80	в данном	4	2
81	не случайно	3	2
82	одна из	7	2
83	потому что	9	2
84	ничем не	2	2
85	тем что	6	2
86	его за	2	2
87	только о	2	2
88	и ее	2	2
89	раз он	2	2
90	о том	9	2
91	его в	3	2
92	что эти	2	2
93	и это	2	2
94	в самом	2	2
95	во сне	2	2
96	ничего не	5	2
97	он не	6	2
98	что она	5	2
99	отца и	2	2
100	никогда не	4	2
