N	2gram	Bakhtin_KF_1	Formalny
1	и не	26	30
2	вовсе не	7	28
3	и в	24	27
4	может быть	45	25
5	не может	27	24
6	так и	2	21
7	и его	17	19
8	в этом	14	18
9	а не	17	17
10	точки зрения	12	16
11	самом деле	3	16
12	и пр	3	15
13	в нем	28	15
14	в процессе	2	15
15	то же	5	15
16	на самом	3	14
17	как и	5	14
18	с точки	9	14
19	не в	12	12
20	если бы	8	12
21	в жизни	2	11
22	место в	5	10
23	но и	9	10
24	лишь в	8	9
25	как его	4	9
26	не только	5	9
27	что в	4	8
28	ни в	12	8
29	при этом	4	8
30	как бы	9	8
31	отнюдь не	6	8
32	и все	7	8
33	то что	7	8
34	входит в	3	8
35	только в	16	8
36	не менее	3	7
37	в том	6	7
38	же время	2	7
39	все это	10	7
40	потому что	2	7
41	в то	3	7
42	его в	5	7
43	между тем	4	7
44	с тем	2	7
45	совершенно не	6	7
46	в его	40	7
47	там где	5	7
48	все эти	10	6
49	в своих	3	6
50	но в	5	6
51	что он	2	6
52	оценки и	2	6
53	еще не	4	6
54	было бы	8	6
55	все же	5	6
56	в своей	10	6
57	хотя бы	4	6
58	и для	9	6
59	в данном	2	6
60	и ее	2	6
61	независимо от	3	5
62	никогда не	5	5
63	в каждом	3	5
64	войти в	2	5
65	ни было	4	5
66	совсем не	2	5
67	того чтобы	2	5
68	и их	6	5
69	в ней	3	5
70	в единстве	7	5
71	но не	12	5
72	и потому	2	5
73	сводится к	2	5
74	тем что	3	5
75	смысла и	2	4
76	то ни	2	4
77	прежде всего	2	4
78	в смысле	6	4
79	и как	2	4
80	до конца	3	4
81	для того	3	4
82	ценностный центр	2	4
83	бы то	2	4
84	в целом	10	4
85	жизни и	8	4
86	со стороны	7	4
87	смысл и	6	4
88	содержания и	2	4
89	но ведь	5	4
90	о том	3	4
91	тогда когда	3	4
92	по себе	2	4
93	не есть	20	4
94	в ее	16	4
95	том что	4	4
96	в корне	2	4
97	конечно не	7	4
98	как в	2	4
99	менее всего	6	4
100	мы не	3	4
101	могут быть	3	4
102	видения и	2	4
103	бы и	3	3
104	что это	3	3
105	его и	2	3
106	тому что	2	3
107	это не	10	3
108	вследствие этого	2	3
109	для нас	4	3
110	лишь как	2	3
111	должна быть	4	3
112	того что	3	3
113	его осуществления	2	3
114	не о	2	3
115	в него	2	3
116	в виду	3	3
117	и тем	3	3
118	по отношению	26	3
119	действительности в	2	3
120	и на	3	3
121	в основе	5	3
122	он и	2	3
123	от его	5	3
124	жизни в	5	3
125	раз и	2	3
126	ясно что	3	3
127	это единство	3	3
128	во всех	11	3
129	о нем	4	3
130	нет и	3	3
131	оно не	2	3
132	отношению к	22	3
133	дело с	2	3
134	уже не	7	3
135	и эта	2	3
136	жизнь и	2	3
137	единства и	2	3
138	в себе	21	3
139	и навсегда	2	3
140	или иное	2	2
141	для этого	2	2
142	и мир	2	2
143	ее и	6	2
144	содержание и	2	2
145	или иной	2	2
146	лишь с	2	2
147	всех этих	3	2
148	но это	6	2
149	в этой	2	2
150	нем и	3	2
151	свершения в	2	2
152	но для	2	2
153	в котором	24	2
154	был бы	3	2
155	он может	2	2
156	дело не	2	2
157	от того	3	2
158	в своем	16	2
159	и только	6	2
160	и содержание	5	2
161	но эта	5	2
162	именно на	2	2
163	может иметь	2	2
164	бы быть	5	2
165	и действительно	6	2
166	нисколько не	4	2
167	сознания и	3	2
168	этом смысле	3	2
169	не как	4	2
170	к этому	2	2
171	данный момент	3	2
172	с ее	2	2
173	говорить о	2	2
174	от него	3	2
175	в отвлечении	5	2
176	кажется что	2	2
177	не значит	6	2
178	этого слова	2	2
179	должен быть	7	2
180	что и	7	2
181	тем не	2	2
182	и именно	2	2
183	вытекает из	2	2
184	это только	2	2
185	бы не	3	2
186	это и	2	2
187	чтобы не	2	2
188	то или	2	2
189	что этот	3	2
190	это можно	2	2
191	от этого	2	2
192	отвлечении от	6	2
193	быть только	8	2
194	в каком	4	2
195	познания и	4	2
196	и это	12	2
197	дело в	2	2
198	в единство	2	2
199	здесь не	3	2
200	в области	2	2
201	ничего не	3	2
