N	2gram	Berdyaev_M_1	DiskursI
1	в себе	7	19
2	и в	28	16
3	может быть	30	16
4	как и	5	16
5	в этом	20	16
6	и не	11	15
7	а не	25	14
8	то есть	3	12
9	в мире	10	11
10	но и	25	11
11	но в	7	11
12	том что	3	10
13	не только	29	10
14	не может	28	9
15	в том	6	8
16	как в	2	8
17	прежде всего	10	7
18	в нем	13	7
19	но не	8	7
20	с его	3	6
21	себя в	3	6
22	все же	2	6
23	в своей	15	6
24	по своей	2	6
25	что в	10	5
26	в своем	10	5
27	для него	11	5
28	то что	5	5
29	и на	6	5
30	в то	2	5
31	к этому	2	4
32	как бы	2	4
33	отношению к	2	4
34	по отношению	2	4
35	человека в	13	4
36	потому что	16	4
37	в основе	2	4
38	одно из	3	4
39	точки зрения	4	4
40	в этой	6	4
41	о том	2	4
42	мира и	5	4
43	жизни в	2	3
44	могут быть	2	3
45	в этих	4	3
46	в них	4	3
47	это не	5	3
48	и все	10	3
49	уже не	4	3
50	и как	2	3
51	не в	16	3
52	не знают	3	3
53	он не	24	3
54	в его	9	3
55	еще в	2	3
56	в котором	8	3
57	жизни и	2	3
58	приводит к	2	3
59	не было	18	3
60	все эти	2	3
61	также и	2	3
62	и его	9	3
63	ведет к	6	3
64	не знает	4	3
65	как будто	2	3
66	только в	6	3
67	его в	3	3
68	в творчестве	10	3
69	место в	2	2
70	никогда не	14	2
71	личности в	2	2
72	момент в	2	2
73	интерес к	3	2
74	в той	2	2
75	что он	10	2
76	образ человека	7	2
77	должна быть	6	2
78	отношение к	4	2
79	с их	2	2
80	о чем	2	2
81	живет в	2	2
82	в ней	15	2
83	что и	4	2
84	не к	4	2
85	вместе с	6	2
86	с ней	2	2
87	заключает в	3	2
88	человеческой жизни	2	2
89	входит в	2	2
90	все это	6	2
91	и для	2	2
92	должно быть	3	2
93	а в	4	2
94	в наше	2	2
95	и с	3	2
96	и это	12	2
