N	3gram	Savitsky_E_1	Myshleni
1	с точки зрения	16	18
2	в том что	6	15
3	для того чтобы	5	15
4	с другой стороны	2	9
5	с одной стороны	8	8
6	заключается в том	2	6
7	по сравнению с	2	5
8	так же как	5	5
9	из того что	2	5
10	не может быть	2	5
11	же как и	3	4
12	можно сказать что	3	4
13	в этом отношении	3	4
14	друг с другом	3	4
15	в свою очередь	2	3
16	на то что	2	3
17	можно было бы	3	3
18	во всяком случае	3	3
19	друг от друга	2	3
20	в одном из	2	2
21	в данном случае	2	2
22	в то же	15	2
23	то же время	14	2
24	в известном смысле	3	2
25	и в частности	2	2
26	прежде всего в	2	2
