N	3gram	Losev_Prob_3	Vladivir
1	в том что	9	10
2	тем не менее	10	9
3	о том что	3	8
4	с точки зрения	2	6
5	не может быть	5	6
6	это значит что	2	6
7	как раз и	4	5
8	в конце концов	3	5
9	и в этом	6	5
10	дело в том	3	5
11	что же касается	4	5
12	необходимо сказать что	2	5
13	в то время	4	4
14	точно так же	3	4
15	то это значит	2	4
16	содержит в себе	3	4
17	и то что	7	4
18	также и то	4	3
19	никакого отношения к	3	3
20	у нас выше	2	3
21	в отличие от	2	3
22	само по себе	3	3
23	как мы видели	2	3
24	в то же	4	3
25	бы то ни	4	3
26	во всяком случае	6	3
27	в настоящее время	2	3
28	и в его	3	3
29	что и в	3	3
30	должны сказать что	3	2
31	вовсе не есть	8	2
32	в данном случае	7	2
33	не имеет ничего	3	2
34	на первый план	2	2
35	даже и не	4	2
36	в связи с	7	2
37	это же самое	2	2
38	сам по себе	6	2
39	в таком случае	4	2
40	ни в каком	4	2
41	едва ли можно	2	2
42	но даже и	4	2
43	на самом же	4	2
44	ничего общего с	2	2
45	то время как	4	2
46	с другой стороны	5	2
47	даже и в	2	2
48	в сравнении с	2	2
49	имеет ничего общего	3	2
50	самом же деле	4	2
