N	2gram	Tiupa_Lite_3	FransuaR
1	и в	16	40
2	то есть	5	18
3	и его	6	17
4	прежде всего	3	16
5	в романе	3	15
6	в этом	14	15
7	не только	14	13
8	и не	22	13
9	в его	6	13
10	что в	2	12
11	как и	5	11
12	но и	14	11
13	и т.п	6	10
14	как мы	2	10
15	может быть	12	9
16	отношение к	2	8
17	в том	12	8
18	и с	2	8
19	той же	3	8
20	и на	2	8
21	но в	3	8
22	в одном	4	7
23	в ту	2	7
24	то же	9	7
25	он и	2	7
26	к этому	2	6
27	же время	7	6
28	в самом	3	6
29	во всех	2	6
30	в своей	7	6
31	связи с	2	6
32	в то	9	6
33	до конца	4	6
34	в году	5	5
35	со всеми	2	5
36	как раз	2	5
37	в нем	2	5
38	то что	12	5
39	а не	12	5
40	и для	4	5
41	в основе	5	5
42	в своих	2	5
43	для него	2	5
44	xix века	2	4
45	у нас	2	4
46	том что	8	4
47	было бы	2	4
48	из них	4	4
49	и потому	2	4
50	а также	4	4
51	даже в	4	4
52	один из	2	4
53	в мире	16	4
54	жизни и	3	4
55	о том	6	4
56	в данном	4	4
57	того чтобы	2	4
58	и даже	2	4
59	в области	3	4
60	том числе	3	3
61	только для	3	3
62	с его	6	3
63	если бы	2	3
64	в частности	11	3
65	и к	3	3
66	в ее	5	3
67	в начале	4	3
68	в этой	8	3
69	еще не	6	3
70	такого рода	10	3
71	вплоть до	2	3
72	как бы	8	3
73	о нем	2	3
74	еще в	3	3
75	и наконец	3	3
76	что и	2	3
77	вместе с	5	3
78	так и	9	3
79	как в	5	3
80	во всей	2	3
81	по отношению	4	3
82	не может	8	3
83	а в	5	3
84	там где	3	3
85	самом деле	3	3
86	для того	2	3
87	и как	3	3
88	между тем	3	3
89	тем что	2	3
90	при этом	15	3
91	одно из	4	3
92	в отличие	5	3
93	в себе	6	3
94	в другом	6	3
95	только в	7	3
96	в конце	2	3
97	здесь не	2	3
98	отличие от	5	3
99	не менее	2	2
100	еще и	2	2
101	о чем	3	2
102	с другой	6	2
103	это не	5	2
104	одного из	2	2
105	что он	5	2
106	и вот	2	2
107	или иной	2	2
108	можно сказать	2	2
109	все же	2	2
110	своей жизни	2	2
111	но не	4	2
112	и перед	2	2
113	и сам	2	2
114	и если	4	2
115	в первой	2	2
116	например в	3	2
117	на его	3	2
118	одним из	4	2
119	той или	2	2
120	к жизни	2	2
121	раз в	2	2
122	отношению к	4	2
123	в целом	5	2
124	своего рода	10	2
125	данном случае	4	2
126	этом отношении	5	2
127	именно в	5	2
128	лишь в	5	2
129	числе и	2	2
130	потому что	3	2
131	он в	2	2
132	точки зрения	7	2
133	и ее	2	2
134	далеко не	2	2
135	одном из	2	2
136	того же	2	2
137	как о	2	2
