N	2gram	Kanaev_Sov_1	Myshleni
1	в том	4	28
2	и в	7	28
3	в этом	7	27
4	в развитии	4	24
5	не может	17	19
6	таким образом	11	18
7	что в	2	17
8	не только	4	16
9	может быть	12	13
10	с помощью	4	13
11	точки зрения	12	13
12	и не	6	11
13	как бы	4	11
14	как мы	2	10
15	так как	4	10
16	с точки	5	10
17	между собой	3	9
18	было бы	3	9
19	мы можем	6	9
20	в самом	2	8
21	мы видели	4	8
22	еще не	3	8
23	самого начала	3	7
24	с самого	3	7
25	в нем	3	7
26	мы видим	2	7
27	как известно	2	7
28	вместе с	4	7
29	то же	3	7
30	в которой	2	7
31	и к	3	6
32	и что	2	6
33	развития в	2	6
34	же самое	2	6
35	когда мы	3	6
36	как и	6	6
37	приводит к	2	6
38	мы не	9	6
39	в области	3	6
40	не могут	2	5
41	это не	4	5
42	вопрос о	4	5
43	для развития	2	5
44	друг с	2	5
45	на этой	3	5
46	и все	3	5
47	но в	3	5
48	что все	2	5
49	в зависимости	4	5
50	зависимости от	4	5
51	с другом	2	5
52	могут быть	2	5
53	в этой	3	5
54	в нашем	2	4
55	в наших	3	4
56	мы знаем	2	4
57	не в	3	4
58	на этом	2	4
59	на этот	2	4
60	с этим	2	4
61	в первом	3	4
62	системы в	4	4
63	знаем что	2	4
64	он должен	2	4
65	ясно что	3	4
66	что при	2	4
67	той же	2	4
68	в себе	3	4
69	из этих	2	3
70	в каждом	8	3
71	отличается от	3	3
72	при этом	3	3
73	на его	2	3
74	но мы	3	3
75	в целом	4	3
76	его развития	3	3
77	в системе	3	3
78	и по	2	3
79	видели что	3	3
80	развития но	2	3
81	мы должны	4	3
82	в его	2	3
83	а не	3	3
84	что такое	2	3
85	и т.д	3	3
86	не менее	2	2
87	поэтому мы	3	2
88	точку зрения	4	2
89	в конце	3	2
90	прежде всего	5	2
91	для нас	3	2
92	самом деле	2	2
93	из них	4	2
94	если мы	4	2
95	все это	3	2
96	все эти	5	2
97	и наконец	5	2
98	мы называем	3	2
99	у него	2	2
100	он может	3	2
101	на котором	2	2
102	в одном	3	2
103	у нас	3	2
104	все же	3	2
105	а в	4	2
106	этой стадии	2	2
