N	2gram	Vygotskiy__2	Hudozhes
1	в качестве	4	19
2	состоит в	3	16
3	и не	7	16
4	в том	33	15
5	и в	15	15
6	не только	15	15
7	в частности	6	13
8	может быть	9	13
9	при этом	3	12
10	а в	4	12
11	и его	4	12
12	но не	3	11
13	в этом	19	11
14	в себе	2	11
15	представляет собой	2	10
16	как бы	7	10
17	отношению к	5	10
18	но и	10	10
19	так и	8	10
20	по отношению	6	10
21	то же	5	10
22	а не	3	10
23	в его	2	9
24	точки зрения	26	9
25	с другой	6	7
26	или иной	2	7
27	в отличие	3	7
28	внутренней речи	5	7
29	отличие от	3	7
30	но в	6	7
31	в основе	3	6
32	с его	4	6
33	что в	14	6
34	том что	27	6
35	не в	8	6
36	приводит к	5	6
37	не может	9	6
38	по своей	6	6
39	могут быть	2	5
40	можно сказать	2	5
41	а также	2	5
42	ни в	2	5
43	только в	4	5
44	тем самым	3	5
45	в самом	11	5
46	того что	17	5
47	той или	2	5
48	с ее	2	5
49	то что	20	5
50	или менее	2	5
51	и т.п	7	5
52	в их	2	5
53	более или	2	5
54	говоря словами	2	4
55	в этих	2	4
56	прежде всего	4	4
57	к тому	7	4
58	и как	2	4
59	в другом	2	4
60	для него	3	4
61	он не	7	4
62	и тем	2	4
63	в своей	4	4
64	со стороны	3	4
65	по пути	2	4
66	сказать что	6	4
67	речи и	15	4
68	мы имеем	3	4
69	говорить о	2	4
70	и т.д	12	4
71	роли в	2	4
72	как это	6	4
73	к которому	6	4
74	если бы	8	3
75	конечном счете	4	3
76	в отношении	6	3
77	в противоположность	2	3
78	он должен	2	3
79	это не	5	3
80	этом смысле	2	3
81	как уже	2	3
82	что он	12	3
83	и к	6	3
84	к его	2	3
85	человека к	2	3
86	того же	3	3
87	иначе говоря	2	3
88	как раз	4	3
89	в конечном	4	3
90	как говорит	2	3
91	в целом	10	3
92	таким образом	14	3
93	как и	6	3
94	лишь в	3	3
95	и что	8	3
96	с точки	18	3
97	во всей	5	3
98	и для	2	3
99	не следует	2	3
100	их в	4	3
101	потому что	7	3
102	что можно	3	3
103	и ее	3	3
104	в данном	3	3
105	в которой	4	3
106	на деле	5	3
107	в виду	6	3
108	том числе	3	2
109	сама по	2	2
110	речь идет	2	2
111	но на	3	2
112	и составляет	2	2
113	и более	2	2
114	числе и	3	2
115	в своем	9	2
116	в них	4	2
117	и особенно	3	2
118	в одном	2	2
119	человека и	3	2
120	этих двух	2	2
121	вовсе не	6	2
122	по себе	7	2
123	об этом	3	2
124	идет о	3	2
125	тем более	3	2
126	с их	2	2
127	одной стороны	7	2
128	говорит что	5	2
129	случае не	2	2
130	и сам	3	2
131	несмотря на	4	2
132	за пределы	2	2
133	во всех	2	2
134	к действительности	8	2
135	одной из	3	2
136	чем это	3	2
137	даже в	4	2
138	не является	9	2
139	для себя	3	2
140	не могло	2	2
141	и др	5	2
142	принадлежит к	2	2
143	как в	4	2
144	между которыми	2	2
145	вытекает из	3	2
146	а с	4	2
147	с одной	7	2
148	именно в	2	2
149	все эти	3	2
150	в себя	2	2
151	того чтобы	12	2
152	для того	10	2
153	из которых	3	2
154	и по	3	2
155	или в	3	2
156	так же	4	2
157	с ним	3	2
158	с другими	3	2
159	в силу	2	2
160	у него	2	2
161	в этой	6	2
162	о том	9	2
163	еще один	2	2
164	и это	3	2
165	всей его	2	2
166	мира и	2	2
