N	2gram	Bakhtin_Fr_7	EvropaiE
1	и в	41	37
2	в отношении	3	32
3	точки зрения	5	23
4	что в	9	21
5	не только	5	18
6	с точки	3	17
7	в то	10	16
8	то же	13	15
9	в своем	9	14
10	в качестве	9	14
11	же время	9	14
12	но и	9	14
13	и не	7	14
14	но в	8	14
15	в этом	15	12
16	в их	3	11
17	в том	11	11
18	в области	2	11
19	так и	10	10
20	прежде всего	11	9
21	не может	3	9
22	в себе	11	9
23	только в	6	9
24	так же	5	9
25	к тому	2	8
26	было бы	4	8
27	в своей	3	8
28	как и	14	7
29	по своему	2	7
30	того что	2	7
31	а также	2	7
32	также и	2	7
33	так как	3	7
34	вовсе не	7	6
35	том что	4	6
36	может быть	4	6
37	как бы	7	6
38	то что	8	6
39	во всех	3	6
40	и на	4	6
41	то есть	20	6
42	не в	9	5
43	одной из	2	5
44	как мы	11	5
45	в той	3	5
46	в течение	2	5
47	тем самым	3	5
48	и по	3	5
49	от этого	3	5
50	и потому	3	5
51	ни было	2	4
52	именно в	2	4
53	несмотря на	3	4
54	в ней	5	4
55	в процессе	2	4
56	не на	3	4
57	мы не	2	4
58	не имеет	3	4
59	мира в	4	4
60	место в	4	3
61	и к	5	3
62	этом отношении	2	3
63	никогда не	2	3
64	и со	2	3
65	в них	7	3
66	и от	8	3
67	мы видели	5	3
68	из всех	2	3
69	в свою	3	3
70	того же	3	3
71	связано с	2	3
72	моря и	2	3
73	из них	3	3
74	что и	5	3
75	во второй	2	3
76	время в	2	3
77	как в	5	3
78	и для	5	3
79	можно было	3	3
80	в которых	2	3
81	в результате	2	3
82	потому что	5	3
83	во всяком	2	3
84	тем что	3	3
85	в данном	2	3
86	во все	2	3
87	о том	6	3
88	дело в	2	3
89	большинстве случаев	2	3
90	мира и	4	3
91	что все	2	2
92	а не	2	2
93	в этих	2	2
94	еще более	2	2
95	и во	2	2
96	с этим	2	2
97	в большинстве	2	2
98	и все	14	2
99	в одном	3	2
100	к нему	5	2
101	одном из	4	2
102	есть не	2	2
103	и эта	3	2
104	влияние на	4	2
105	же в	2	2
106	и как	2	2
107	такой же	3	2
108	есть в	6	2
109	свою очередь	3	2
110	но именно	3	2
111	что это	4	2
112	он не	4	2
113	человеческой культуры	2	2
114	в его	12	2
115	точка зрения	2	2
116	не есть	2	2
117	в мире	3	2
118	жизни и	3	2
119	вместе с	5	2
120	всего в	5	2
121	во всей	2	2
122	целый ряд	4	2
123	а в	5	2
124	таким образом	19	2
125	на них	3	2
126	и других	2	2
127	и человеческой	2	2
128	в значительной	2	2
129	и наконец	4	2
130	мы видим	6	2
131	или в	2	2
132	и с	4	2
133	хотя и	4	2
134	и еще	2	2
135	в этой	13	2
136	и то	2	2
137	далеко не	2	2
138	бы в	2	2
139	в будущее	2	2
140	но по	2	2
