N	3gram	Bakhtin_Pr_1	slovoVRo
1	то же время	7	12
2	в то же	7	12
3	с точки зрения	15	8
4	в большинстве случаев	2	6
5	и в то	3	5
6	во всяком случае	3	5
7	зрения на мир	6	4
8	с другой стороны	2	4
9	но в то	2	4
10	выходит за пределы	2	3
11	в данном случае	2	3
12	хотя бы и	2	3
13	в зависимости от	3	3
14	в то время	2	2
15	в лучшем случае	2	2
16	и в этом	3	2
17	можно было бы	3	2
18	и не может	2	2
19	как мы уже	2	2
20	до сих пор	2	2
21	а не как	3	2
22	в их основе	2	2
23	точка зрения на	2	2
24	друг с другом	3	2
