N	2gram	Losev_Dial_2	UchenyiS
1	и в	19	14
2	а не	16	10
3	не только	19	10
4	и не	30	8
5	прежде всего	8	8
6	то что	14	7
7	в этом	8	7
8	не может	9	7
9	в искусстве	2	6
10	может быть	20	6
11	хотя бы	4	5
12	все это	4	5
13	и только	4	5
14	то же	12	5
15	но и	12	4
16	в этой	3	4
17	в их	2	4
18	конечно не	6	4
19	с другой	5	4
20	что такое	3	4
21	только к	2	3
22	но в	2	3
23	как и	10	3
24	и то	7	3
25	все же	4	3
26	в своей	8	3
27	в частности	2	3
28	очевидно что	2	3
29	же время	5	3
30	другой стороны	4	3
31	это не	10	3
32	в то	6	3
33	не как	2	3
34	было бы	3	3
35	в области	2	3
36	к сожалению	2	3
37	или точнее	3	3
38	тех или	2	2
39	том что	10	2
40	но не	6	2
41	в том	14	2
42	в широком	2	2
43	не есть	47	2
44	крайней мере	9	2
45	не в	8	2
46	всех этих	3	2
47	но это	7	2
48	бы и	2	2
49	должна быть	5	2
50	о чем	3	2
51	это уже	2	2
52	только в	5	2
53	и с	5	2
54	тем что	2	2
55	сих пор	2	2
56	могут быть	4	2
57	что он	6	2
58	мы получаем	2	2
59	в себе	15	2
60	в системе	2	2
61	как раз	5	2
62	до сих	2	2
63	что мы	2	2
64	же самое	2	2
65	в конце	2	2
66	в самом	5	2
67	не могут	4	2
68	по себе	18	2
69	в некоторых	2	2
70	ничего не	3	2
71	самом деле	4	2
72	по крайней	9	2
73	что она	14	2
74	что и	5	2
75	между тем	2	2
76	таким образом	4	2
77	же не	3	2
78	это было	3	2
79	как таковой	4	2
