N	2gram	Berdyaev_V_1	Analitik
1	в том	3	27
2	и не	20	21
3	и в	16	18
4	а не	7	17
5	но и	5	17
6	не только	2	15
7	не в	3	14
8	как и	4	13
9	в его	4	13
10	в этом	4	13
11	том что	2	12
12	но не	2	10
13	а в	2	9
14	в мире	5	8
15	не есть	6	8
16	но в	3	8
17	к тому	3	7
18	это не	2	6
19	прежде всего	2	6
20	то что	9	6
21	в своей	3	6
22	в себя	2	6
23	только в	2	6
24	что в	3	5
25	как бы	5	5
26	лишь в	3	5
27	между тем	2	5
28	того что	5	4
29	могут быть	2	4
30	ни в	3	4
31	не с	2	4
32	так и	4	4
33	уже не	2	4
34	более чем	2	4
35	с ним	2	4
36	не могут	2	3
37	с его	3	3
38	и есть	4	3
39	хотя бы	3	3
40	и все	4	3
41	в нем	4	3
42	что он	4	3
43	и т	2	3
44	еще не	8	3
45	что не	4	3
46	смысла жизни	4	3
47	в котором	4	3
48	что и	3	3
49	не будет	2	3
50	а с	2	3
51	того чтобы	2	3
52	что мы	4	3
53	и то	2	2
54	никогда не	3	2
55	все эти	3	2
56	его и	2	2
57	его к	2	2
58	и потому	7	2
59	должно быть	3	2
60	и сам	2	2
61	для него	2	2
62	нет и	2	2
63	один из	2	2
64	не к	2	2
65	от которого	3	2
66	и тогда	2	2
67	на себя	5	2
68	личности а	2	2
69	в личности	2	2
70	нет ничего	3	2
71	так как	9	2
72	потому что	4	2
73	мира в	2	2
