N	2gram	Voloshinov_1	DiskursI
1	в качестве	4	34
2	не только	27	28
3	в том	2	23
4	а не	6	22
5	то есть	4	20
6	том что	3	19
7	может быть	13	17
8	представляет собой	2	17
9	и в	38	16
10	как и	10	16
11	в этом	10	15
12	еще не	3	14
13	но и	13	14
14	при этом	9	13
15	речевого общения	8	12
16	и т.п	21	12
17	прежде всего	21	11
18	но не	2	11
19	и не	14	11
20	по своей	2	11
21	как в	2	10
22	в частности	3	9
23	в нем	4	9
24	не может	12	9
25	отнюдь не	10	8
26	так и	6	8
27	о том	4	8
28	но в	5	8
29	в основе	2	7
30	в его	6	7
31	то же	14	7
32	не было	2	7
33	роль в	3	7
34	в себе	9	7
35	только в	6	7
36	не в	6	7
37	и как	9	6
38	высказывания в	2	6
39	ни к	2	6
40	к тому	4	5
41	или иной	4	5
42	можно сказать	4	5
43	тому же	2	5
44	как бы	28	5
45	в котором	3	5
46	в своей	2	5
47	то что	8	5
48	во всех	6	5
49	в процессе	6	5
50	а с	5	5
51	а в	5	5
52	и на	6	5
53	с его	7	4
54	не является	5	4
55	и к	4	4
56	что он	2	4
57	уже не	4	4
58	для него	3	4
59	в целом	4	4
60	же время	7	4
61	одной из	2	4
62	связи с	3	4
63	на его	5	4
64	отношение к	2	4
65	лишь в	4	4
66	в которых	2	4
67	потому что	5	4
68	между тем	3	4
69	и т.д	21	4
70	говорящего к	2	3
71	перед нами	3	3
72	первобытного человека	2	3
73	однако в	2	3
74	это не	3	3
75	но при	3	3
76	вследствие этого	2	3
77	как уже	2	3
78	что и	3	3
79	в ее	3	3
80	свою очередь	4	3
81	времени и	2	3
82	по своему	3	3
83	т.п но	2	3
84	в свою	6	3
85	с этим	2	3
86	в данной	3	3
87	в самом	4	3
88	той или	3	3
89	один из	4	3
90	не с	3	3
91	хотя бы	18	3
92	все же	7	3
93	из них	3	3
94	как не	2	3
95	ли не	2	3
96	таким образом	7	3
97	жанр и	2	3
98	того что	4	3
99	и даже	3	3
100	в своих	2	3
101	сказать что	3	3
102	тем что	2	3
103	точки зрения	10	3
104	в то	9	3
105	также и	2	3
106	зрения на	2	3
107	и потому	2	3
108	слова в	5	2
109	общения не	2	2
110	из двух	2	2
111	зависит от	2	2
112	никогда не	7	2
113	между собой	2	2
114	и без	4	2
115	в какой	2	2
116	или даже	2	2
117	и все	4	2
118	в одном	3	2
119	к этому	2	2
120	не всегда	2	2
121	в тех	3	2
122	об этом	3	2
123	точкой зрения	5	2
124	в значительной	2	2
125	общения и	4	2
126	было в	4	2
127	в начале	3	2
128	значительной степени	2	2
129	хотя и	3	2
130	и тем	6	2
131	того или	5	2
132	себя в	4	2
133	в форме	6	2
134	что же	8	2
135	целый ряд	3	2
136	языка и	4	2
137	отношения к	3	2
138	уже в	5	2
139	человека в	2	2
140	как мы	9	2
141	высказывания с	3	2
142	и он	2	2
143	высказывания и	3	2
144	слово не	4	2
145	и его	7	2
146	говорящего и	6	2
147	или в	2	2
148	высказывания не	2	2
149	мы имеем	2	2
150	но как	2	2
151	форма высказывания	3	2
152	и вообще	2	2
153	не говоря	2	2
154	же самое	5	2
155	в этой	6	2
156	внутренней речи	18	2
157	так сказать	4	2
158	заметить что	2	2
159	общения в	4	2
160	в виду	3	2
